date,port,disruption_count,disruption_flag,global_article_count
2025-12-29,Antwerp,2,1,2
2025-12-29,Busan,2,1,2
2025-12-29,Hamburg,2,1,2
2025-12-29,Nhava Sheva,2,1,2
2025-12-29,Rotterdam,2,1,2
2025-12-29,Shanghai,2,1,2
2025-12-29,Singapore,2,1,2
2025-12-31,Antwerp,1,1,1
2025-12-31,Busan,1,1,1
2025-12-31,Hamburg,1,1,1
2025-12-31,Nhava Sheva,1,1,1
2025-12-31,Rotterdam,1,1,1
2025-12-31,Shanghai,1,1,1
2025-12-31,Singapore,1,1,1
2026-01-01,Antwerp,1,1,1
2026-01-01,Busan,1,1,1
2026-01-01,Hamburg,1,1,1
2026-01-01,Nhava Sheva,1,1,1
2026-01-01,Rotterdam,1,1,1
2026-01-01,Shanghai,1,1,1
2026-01-01,Singapore,1,1,1
2026-01-02,Antwerp,2,1,2
2026-01-02,Busan,2,1,2
2026-01-02,Hamburg,2,1,2
2026-01-02,Nhava Sheva,2,1,2
2026-01-02,Rotterdam,2,1,2
2026-01-02,Shanghai,2,1,2
2026-01-02,Singapore,2,1,2
2026-01-03,Antwerp,2,1,2
2026-01-03,Busan,2,1,2
2026-01-03,Hamburg,2,1,2
2026-01-03,Nhava Sheva,2,1,2
2026-01-03,Rotterdam,2,1,2
2026-01-03,Shanghai,2,1,2
2026-01-03,Singapore,2,1,2
2026-01-05,Antwerp,3,1,3
2026-01-05,Busan,3,1,3
2026-01-05,Hamburg,3,1,3
2026-01-05,Nhava Sheva,3,1,3
2026-01-05,Rotterdam,3,1,3
2026-01-05,Shanghai,3,1,3
2026-01-05,Singapore,3,1,3
2026-01-06,Antwerp,39,1,39
2026-01-06,Busan,39,1,39
2026-01-06,Hamburg,39,1,39
2026-01-06,Nhava Sheva,39,1,39
2026-01-06,Rotterdam,39,1,39
2026-01-06,Shanghai,39,1,39
2026-01-06,Singapore,39,1,39
2026-01-07,Antwerp,13,1,13
2026-01-07,Busan,13,1,13
2026-01-07,Hamburg,13,1,13
2026-01-07,Nhava Sheva,13,1,13
2026-01-07,Rotterdam,13,1,13
2026-01-07,Shanghai,13,1,13
2026-01-07,Singapore,13,1,13
2026-01-08,Antwerp,12,1,12
2026-01-08,Busan,12,1,12
2026-01-08,Hamburg,12,1,12
2026-01-08,Nhava Sheva,12,1,12
2026-01-08,Rotterdam,12,1,12
2026-01-08,Shanghai,12,1,12
2026-01-08,Singapore,12,1,12
2026-01-09,Antwerp,7,1,7
2026-01-09,Busan,7,1,7
2026-01-09,Hamburg,7,1,7
2026-01-09,Nhava Sheva,7,1,7
2026-01-09,Rotterdam,7,1,7
2026-01-09,Shanghai,7,1,7
2026-01-09,Singapore,7,1,7
2026-01-10,Antwerp,8,1,8
2026-01-10,Busan,8,1,8
2026-01-10,Hamburg,8,1,8
2026-01-10,Nhava Sheva,8,1,8
2026-01-10,Rotterdam,8,1,8
2026-01-10,Shanghai,8,1,8
2026-01-10,Singapore,8,1,8
2026-01-11,Antwerp,2,1,2
2026-01-11,Busan,2,1,2
2026-01-11,Hamburg,2,1,2
2026-01-11,Nhava Sheva,2,1,2
2026-01-11,Rotterdam,2,1,2
2026-01-11,Shanghai,2,1,2
2026-01-11,Singapore,2,1,2
2026-01-12,Antwerp,8,1,8
2026-01-12,Busan,8,1,8
2026-01-12,Hamburg,8,1,8
2026-01-12,Nhava Sheva,8,1,8
