date,port,t_numeric,total_calls,container_ratio,total_incoming_dwt,total_outgoing_dwt,net_dwt_flow,congestion_score,queue_buildup_7d,calls_container,calls_dry_bulk,calls_roro,calls_tanker,calls_general_cargo,incoming_dwt_container,incoming_dwt_dry_bulk,incoming_dwt_roro,incoming_dwt_tanker,weather_risk_score,storm_alert,disruption_flag,disruption_count,state,state_numeric,anomaly_container,anomaly_dry_bulk,anomaly_roro,anomaly_tanker,anomaly_general_cargo
2023-01-01,Busan,0.0,56,0.5964912280701754,257132,101834,155298,2.524986497765994,396442.0,34,2,1,8,11,219945,10131,178,14262,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-01-01,Rotterdam,0.0,53,0.2037037037037037,943039,80235,862804,11.753315220100703,3580904.0,11,2,3,26,11,196049,247903,6755,484387,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-01-02,Antwerp,1.0,59,0.11666666666666667,493922,176174,317748,2.8035873421314035,598085.0,7,5,1,36,10,260973,93974,0,131576,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-01-07,Hamburg,6.0,11,0.5833333333333334,303129,58199,244930,5.20840206185567,515641.0,7,2,0,1,1,225079,78050,0,0,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-01-09,Shanghai,8.0,143,0.3055555555555556,1297375,556246,741129,2.3323721296474407,1521790.0,44,44,4,35,16,330134,839413,414,109046,0.0,0.0,0,0,S3,3,1,1,0,0,0
2023-01-13,Shanghai,12.0,4,0.0,14906,3095,11811,4.814599483204135,255921.0,0,1,2,1,0,0,3449,414,11043,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-01-14,Busan,13.0,48,0.6530612244897959,227769,86721,141048,2.626426973547658,78817.0,32,2,1,6,7,138458,76143,178,5919,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-01-17,Busan,16.0,56,0.6491228070175439,222129,93165,128964,2.384228151900908,255028.0,37,1,0,6,12,198478,380,0,7754,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-01-18,Hamburg,17.0,18,0.5789473684210527,440591,60194,380397,7.319395298612841,492838.0,11,1,0,4,2,280244,86950,0,73397,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-01-21,Singapore,20.0,99,0.41,1277608,691342,586266,1.8480088754785975,1158731.0,41,1,1,52,4,546718,19614,0,710312,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-01-22,Hamburg,21.0,16,0.29411764705882354,125600,21794,103806,5.762789630649231,569544.0,5,0,0,5,6,118522,0,0,2734,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-01-29,Rotterdam,28.0,88,0.23595505617977527,1238746,174306,1064440,7.1066910680580815,2874345.0,21,6,3,38,20,196936,316616,955,705488,0.0,0.0,0,0,S3,3,0,0,0,0,1
2023-01-30,Nhava Sheva,29.0,18,0.21052631578947367,258385,20058,238327,12.881250311580837,458485.0,4,4,1,2,7,194918,48543,0,11514,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-01-30,Shanghai,29.0,107,0.3148148148148148,1269374,494819,774555,2.5653247645608506,1389853.0,34,38,2,19,14,648285,509985,0,77850,0.0,0.0,0,0,S3,3,0,1,0,0,0
2023-01-31,Hamburg,30.0,17,0.4444444444444444,186994,31131,155863,6.006488500578183,515597.0,8,1,1,4,3,29724,145597,0,6689,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-01-31,Singapore,30.0,117,0.3728813559322034,1708507,714920,993587,2.389784325820615,815842.0,44,3,2,64,4,1297099,18945,0,389571,0.0,0.0,0,0,S3,3,1,0,0,1,0
2023-02-03,Shanghai,33.0,104,0.2761904761904762,997586,353473,644113,2.8222330355273657,2290266.0,29,31,4,25,15,152755,681409,900,122699,0.0,0.0,0,0,S3,3,0,1,0,0,0
2023-02-04,Shanghai,34.0,122,0.21951219512195122,1371590,504650,866940,2.717898111764368,2834757.0,27,44,5,24,22,517492,718110,828,108563,0.0,0.0,0,0,S3,3,0,1,0,0,1
2023-02-08,Shanghai,38.0,110,0.34234234234234234,1044916,411103,633813,2.5417315326535377,3590515.0,38,37,5,19,11,314176,583649,1962,143121,0.0,0.0,0,0,S3,3,0,1,0,0,0
2023-02-12,Busan,42.0,55,0.6428571428571429,479114,106487,372627,4.499229960183307,289656.0,36,2,1,6,10,455317,8014,178,8581,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-02-13,Nhava Sheva,43.0,20,0.14285714285714285,304262,6208,298054,20.0,782712.0,3,6,0,2,9,248975,39670,0,12352,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-02-17,Busan,47.0,58,0.5932203389830508,235534,65859,169675,3.576283024597631,520759.0,35,2,0,10,11,205395,1190,0,20146,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-02-17,Rotterdam,47.0,97,0.20408163265306123,887563,161458,726105,5.497141689221412,3875787.0,20,2,5,58,12,259267,35701,3227,574008,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-02-20,Rotterdam,50.0,80,0.18518518518518517,730930,133547,597383,5.473163207236349,2850990.0,15,3,7,40,15,82980,139906,5726,486468,0.0,0.0,0,0,S3,3,0,0,1,0,0
2023-02-21,Hamburg,51.0,15,0.5,360412,61103,299309,5.898337261063106,18256.0,8,0,0,2,5,343066,0,0,14549,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-02-22,Singapore,52.0,133,0.30597014925373134,1663009,874338,788671,1.9020185534443734,1481369.0,41,2,2,82,6,705605,21209,1381,929800,0.0,0.0,0,0,S3,3,0,0,0,1,0
2023-02-23,Busan,53.0,66,0.5671641791044776,404077,176527,227550,2.2890249705429166,350010.0,38,3,1,12,12,360095,5674,0,29046,0.0,0.0,0,0,S3,3,0,0,0,0,0
2023-02-25,Rotterdam,55.0,93,0.1702127659574468,1074261,159456,914805,6.736994926531918,2742513.0,16,7,7,50,13,352865,355319,2580,358443,0.0,0.0,0,0,S3,3,0,0,1,0,0
2023-02-26,Singapore,56.0,129,0.3,1486031,778789,707242,1.908127993425699,1398454.0,39,3,3,76,8,1141045,0,0,336150,0.0,0.0,0,0,S3,3,0,0,0,1,0
2023-02-27,Singapore,57.0,135,0.3014705882352941,1489092,737431,751661,2.0192939823604075,2113976.0,41,4,6,76,8,892147,9876,5169,576161,0.0,0.0,0,0,S3,3,0,0,0,1,0
2023-03-01,Busan,59.0,66,0.6865671641791045,478402,151576,326826,3.1561648535067985,788604.0,46,1,1,10,8,445137,2334,0,23440,0.0,0.0,0,0,S3,3,1,0,0,0,0
2023-03-01,Singapore,59.0,134,0.31851851851851853,1853175,770609,1082566,2.4048156655117374,2554224.0,43,2,2,85,2,1074383,16337,252,762203,0.3,0.0,0,0,S3,3,1,0,0,1,0
