date,calls_container,calls_dry_bulk,calls_general_cargo,calls_roro,calls_tanker,7-day_moving_average,prior_year_7-day_moving_average,incoming_dwt_container,incoming_dwt_dry_bulk,incoming_dwt_general_cargo,incoming_dwt_roro,incoming_dwt_tanker,outgoing_dwt_container,outgoing_dwt_dry_bulk,outgoing_dwt_general_cargo,outgoing_dwt_roro,outgoing_dwt_tanker,port,total_calls,total_incoming_dwt,total_outgoing_dwt,container_ratio,net_dwt_flow,congestion_score,queue_buildup_7d,ma_7day,prior_year_ma,yoy_pct_change,anomaly_flag,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score,disruption_count,disruption_flag,state,state_numeric
2019-01-01,11,3,6,1,28,0.0,0.0,371291,2912,5533,4025,71172,105751,44937,4079,0,25811,Antwerp,49,454933,180578,0.22,274355,2.51930180142763,274355.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-02,15,1,10,1,41,0.0,0.0,221361,0,6913,0,110152,205035,202021,7792,0,35650,Antwerp,68,338426,450498,0.21739130434782608,-112072,0.7512247529961221,162283.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-03,13,2,8,0,52,0.0,0.0,177884,0,4635,0,332704,296912,27049,7580,0,153090,Antwerp,75,515223,484631,0.17105263157894737,30592,1.063122121527262,192875.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-04,9,0,4,3,39,0.0,0.0,258683,0,3812,358,168080,24469,0,0,4031,55972,Antwerp,55,430933,84472,0.16071428571428573,346461,5.101428858925337,539336.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-05,13,0,4,1,41,0.0,0.0,264298,0,731,358,108682,125847,0,2654,1772,125347,Antwerp,59,374069,255620,0.21666666666666667,118449,1.4633735100011345,657785.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-06,16,2,5,1,33,0.0,0.0,200852,44525,2117,0,80116,304001,7382,4353,4426,43289,Antwerp,57,327610,363451,0.27586206896551724,-35841,0.9013845019424849,621944.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-07,14,1,12,2,42,62.0,0.0,311657,0,35312,6723,135456,351013,0,6078,0,105625,Antwerp,71,489148,462716,0.19444444444444445,26432,1.0571213074081998,648376.0,62.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-08,13,0,6,3,35,63.142857142857146,0.0,80191,0,2472,358,108435,125692,0,2824,1772,59619,Antwerp,57,191456,189907,0.22413793103448276,1549,1.00815131537376,375570.0,63.142857142857146,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-09,10,1,4,5,27,60.142857142857146,0.0,25125,24823,1463,2322,24186,132780,0,3523,4949,23909,Antwerp,47,77919,165161,0.20833333333333334,-87242,0.4717731681621681,400400.0,60.142857142857146,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-10,20,3,17,4,57,63.85714285714285,0.0,265379,0,5637,953,241281,263883,98503,51165,2039,127627,Antwerp,101,513250,543217,0.19607843137254902,-29967,0.9448324613691005,339841.0,63.85714285714285,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
