date,calls_container,calls_dry_bulk,calls_general_cargo,calls_roro,calls_tanker,7-day_moving_average,prior_year_7-day_moving_average,incoming_dwt_container,incoming_dwt_dry_bulk,incoming_dwt_general_cargo,incoming_dwt_roro,incoming_dwt_tanker,outgoing_dwt_container,outgoing_dwt_dry_bulk,outgoing_dwt_general_cargo,outgoing_dwt_roro,outgoing_dwt_tanker,port,total_calls,total_incoming_dwt,total_outgoing_dwt,container_ratio,net_dwt_flow,congestion_score,queue_buildup_7d,ma_7day,prior_year_ma,yoy_pct_change,anomaly_flag,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score,disruption_count,disruption_flag,state,state_numeric
2019-01-01,39,4,8,1,7,0.0,0.0,274841,15579,8018,138,13893,128113,10578,1835,718,11362,Busan,59,312469,152606,0.65,159863,2.0475404142667113,159863.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-02,30,6,9,0,8,0.0,0.0,127281,6857,4409,0,22240,189867,13476,3928,0,12187,Busan,53,160787,219458,0.5555555555555556,-58671,0.7326516570293312,101192.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-03,27,1,12,1,10,0.0,0.0,54093,4946,17556,427,14033,185861,0,5078,37,26759,Busan,51,91055,217735,0.5192307692307693,-126680,0.4181899180659147,-25488.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-04,30,2,8,2,9,0.0,0.0,282115,10586,6162,138,23525,129788,7339,4638,718,5511,Busan,51,322526,147994,0.5769230769230769,174532,2.179303354843069,149044.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-05,36,0,11,0,5,0.0,0.0,103391,0,8270,0,5545,163543,0,3829,0,2042,Busan,52,117206,169414,0.6792452830188679,-52208,0.6918277602337455,96836.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-06,47,1,4,2,7,0.0,0.0,121478,5293,7304,388,21232,246333,3669,917,348,3170,Busan,61,155695,254437,0.7580645161290323,-98742,0.6119172450655955,-1906.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-07,33,4,13,3,15,56.42857142857143,0.0,261403,5293,13675,495,29709,121099,8621,6368,1415,14604,Busan,68,310575,152107,0.4782608695652174,158468,2.041805822178978,156562.0,56.42857142857143,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-08,41,0,8,1,8,56.285714285714285,0.0,257550,0,11110,0,15792,169278,0,2637,0,4738,Busan,58,284452,176653,0.6949152542372882,107799,1.6102211101928063,104498.0,56.285714285714285,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-09,39,0,7,2,10,57.0,0.0,203153,0,15529,316,15393,122425,0,2050,1067,87794,Busan,58,234391,213336,0.6610169491525424,21055,1.0986889287840365,184224.0,57.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-10,34,1,8,1,5,56.71428571428572,0.0,100388,28984,8515,0,12433,130911,0,2179,0,3028,Busan,49,150320,136118,0.68,14202,1.1043278307951132,325106.0,56.71428571428572,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-11,43,3,7,1,9,58.42857142857143,0.0,249213,5293,7916,0,5794,254791,85208,10192,0,6994,Busan,63,268216,357185,0.671875,-88969,0.750914089577979,61605.0,58.42857142857143,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-12,38,3,7,2,12,59.85714285714285,0.0,86200,7627,11482,316,28572,169001,4302,5620,1067,9716,Busan,62,134197,189706,0.6031746031746031,-55509,0.7073908711855651,58304.0,59.85714285714285,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-13,42,2,13,1,9,60.71428571428572,0.0,129350,0,14793,178,13559,245578,0,3377,348,8497,Busan,67,157880,257800,0.6176470588235294,-99920,0.6124103475161073,57126.0,60.71428571428572,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-14,35,2,12,4,11,60.142857142857146,0.0,138969,46418,18410,633,30171,111338,3669,5105,2134,3629,Busan,64,234601,125875,0.5384615384615384,108726,1.863746861991166,7384.0,60.142857142857146,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
2019-01-15,28,2,4,2,10,58.42857142857143,0.0,99761,9522,3654,0,20188,77694,253,458,0,7141,Busan,46,133125,85546,0.5957446808510638,47579,1.5561621097174652,-52836.0,58.42857142857143,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
2019-01-16,40,2,4,2,5,57.71428571428572,0.0,183511,8392,2269,178,3961,166926,0,3511,936,10312,Busan,53,198311,181685,0.7407407407407407,16626,1.09150402342503,-57265.0,57.71428571428572,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-17,31,0,6,2,10,57.71428571428572,0.0,134632,0,3704,427,36812,188855,0,7721,246,4373,Busan,49,175575,201195,0.62,-25620,0.8726565140460049,-97087.0,57.71428571428572,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-18,39,2,8,1,11,57.42857142857143,0.0,191762,3305,7576,0,31040,159800,0,4652,0,9426,Busan,61,233683,173878,0.6290322580645161,59805,1.343940326318877,51687.0,57.42857142857143,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1
2019-01-19,42,2,6,2,12,57.71428571428572,0.0,143485,10586,3685,178,22438,189912,7339,3997,4296,17872,Busan,64,180372,223416,0.6461538461538462,-43044,0.8073333721247712,64152.0,57.71428571428572,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-20,43,1,10,1,6,56.85714285714285,0.0,287002,22642,13781,178,8911,220102,0,1835,348,1836,Busan,61,332514,224121,0.6935483870967742,108393,1.4836294518164215,272465.0,56.85714285714285,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1
2019-01-21,21,3,9,5,11,54.71428571428572,0.0,153579,0,20174,1889,21902,73714,0,5828,1067,5412,Busan,49,197544,86021,0.42,111523,2.296435795494176,275262.0,54.71428571428572,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-22,37,4,5,1,11,56.42857142857143,0.0,236264,26379,6376,0,21163,166749,3669,1835,0,5369,Busan,58,290182,177622,0.6271186440677966,112560,1.6336960866554444,340243.0,56.42857142857143,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-23,41,4,6,1,9,57.57142857142857,0.0,206006,18411,8803,178,21594,191355,11009,917,348,3534,Busan,61,254992,207163,0.6612903225806451,47829,1.2308702284180648,371446.0,57.57142857142857,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1
2019-01-24,34,0,8,3,14,59.0,0.0,191789,0,10554,0,23942,114375,0,2294,0,9508,Busan,59,226285,126177,0.5666666666666667,100108,1.7933791944713025,497174.0,59.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
2019-01-25,27,3,6,0,12,57.142857142857146,0.0,109385,7555,4538,0,36546,107581,1537,3196,0,3673,Busan,48,158024,115987,0.5510204081632653,42037,1.3624168017381109,479406.0,57.142857142857146,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1
2019-01-26,39,0,5,1,7,55.42857142857143,0.0,132183,0,5287,178,35209,236248,0,711,348,3378,Busan,52,172857,240685,0.7358490566037735,-67828,0.7181846887646145,454622.0,55.42857142857143,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-27,39,3,16,3,9,56.71428571428572,0.0,168815,35459,15975,357,19691,125975,552,2287,696,21227,Busan,70,240297,150737,0.5492957746478874,89560,1.5941368467141663,435789.0,56.71428571428572,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
2019-01-28,42,4,16,3,12,60.71428571428572,0.0,197982,31695,19547,495,23889,146453,3669,5146,1415,6324,Busan,77,273608,163007,0.5384615384615384,110601,1.678494307027876,434867.0,60.71428571428572,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
2019-01-29,35,2,7,0,13,60.57142857142857,0.0,137386,5731,9598,0,24854,175923,0,3492,0,5938,Busan,57,177569,185353,0.603448275862069,-7784,0.9579992878491966,314523.0,60.57142857142857,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
