date,calls_container,calls_dry_bulk,calls_general_cargo,calls_roro,calls_tanker,7-day_moving_average,prior_year_7-day_moving_average,incoming_dwt_container,incoming_dwt_dry_bulk,incoming_dwt_general_cargo,incoming_dwt_roro,incoming_dwt_tanker,outgoing_dwt_container,outgoing_dwt_dry_bulk,outgoing_dwt_general_cargo,outgoing_dwt_roro,outgoing_dwt_tanker,port,total_calls,total_incoming_dwt,total_outgoing_dwt,container_ratio,net_dwt_flow,congestion_score,queue_buildup_7d,ma_7day,prior_year_ma,yoy_pct_change,anomaly_flag,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score,disruption_count,disruption_flag,state,state_numeric
2019-01-01,6,0,2,0,7,0.0,0.0,18676,0,0,0,12128,74554,0,3195,0,18397,Hamburg,15,30804,96146,0.375,-65342,0.32038441137008955,-65342.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-02,5,1,1,1,5,0.0,0.0,146293,57932,490,0,39044,1963,0,991,830,9768,Hamburg,13,243759,13552,0.35714285714285715,230207,17.985612041614402,164865.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-03,11,1,3,0,4,0.0,0.0,421452,34745,0,0,56477,71190,0,2843,0,5774,Hamburg,19,512674,79807,0.55,432867,6.423842221331195,597732.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-04,9,1,4,1,6,0.0,0.0,254548,86587,1070,0,79132,35278,0,3673,435,4760,Hamburg,21,421337,44146,0.4090909090909091,377191,9.543955421659456,974923.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-05,10,1,3,0,4,0.0,0.0,13930,71916,0,0,27031,211646,0,2757,0,2799,Hamburg,18,112877,217202,0.5263157894736842,-104325,0.5196843505844763,870598.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-06,13,0,5,0,3,0.0,0.0,212903,0,0,0,4816,120331,0,5872,0,3449,Hamburg,21,217719,129652,0.5909090909090909,88067,1.6792438277556245,958665.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
2019-01-07,15,4,2,0,7,19.285714285714285,0.0,197155,257175,490,0,9941,95772,0,991,0,4318,Hamburg,28,464761,101081,0.5172413793103449,363680,4.597861142438812,1322345.0,19.285714285714285,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-08,5,0,5,0,4,19.142857142857142,0.0,78222,0,490,0,4214,26508,0,7616,0,21352,Hamburg,14,82926,55476,0.3333333333333333,27450,1.4947816212123943,1415137.0,19.142857142857142,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-09,9,4,4,0,2,20.0,0.0,215365,129902,158,0,10679,117294,27168,3126,0,2799,Hamburg,19,356104,150387,0.45,205717,2.3679016942841185,1390647.0,20.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-10,10,2,7,3,7,21.428571428571427,0.0,288732,97955,12510,1831,65414,319954,8412,4713,2468,3271,Hamburg,29,466442,338818,0.3333333333333333,127624,1.3766701395140177,1085404.0,21.428571428571427,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
