date,calls_container,calls_dry_bulk,calls_general_cargo,calls_roro,calls_tanker,7-day_moving_average,prior_year_7-day_moving_average,incoming_dwt_container,incoming_dwt_dry_bulk,incoming_dwt_general_cargo,incoming_dwt_roro,incoming_dwt_tanker,outgoing_dwt_container,outgoing_dwt_dry_bulk,outgoing_dwt_general_cargo,outgoing_dwt_roro,outgoing_dwt_tanker,port,total_calls,total_incoming_dwt,total_outgoing_dwt,container_ratio,net_dwt_flow,congestion_score,queue_buildup_7d,ma_7day,prior_year_ma,yoy_pct_change,anomaly_flag,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score,disruption_count,disruption_flag,state,state_numeric
2019-01-01,2,6,1,0,1,0.0,0.0,50680,46038,0,0,0,0,0,0,0,51417,Nhava Sheva,10,96718,51417,0.18181818181818182,45301,1.8810144307440975,45301.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
2019-01-02,7,5,5,0,4,0.0,0.0,153754,85590,464,0,123293,288706,3029,0,0,0,Nhava Sheva,21,363101,291735,0.3181818181818182,71366,1.2446218498916828,116667.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1
2019-01-03,3,3,2,0,1,0.0,0.0,131304,52109,0,0,1612,0,2383,825,0,0,Nhava Sheva,9,185025,3208,0.3,181817,20.0,298484.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-04,4,5,1,0,6,0.0,0.0,100222,46683,1752,0,146584,54783,0,0,0,0,Nhava Sheva,16,295241,54783,0.23529411764705882,240458,5.389182973130841,538942.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-05,5,2,2,0,5,0.0,0.0,68248,82080,0,0,21300,142196,2383,0,0,543,Nhava Sheva,14,171628,145122,0.3333333333333333,26506,1.1826381758921742,565448.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-06,6,3,3,0,3,0.0,0.0,320499,14257,0,0,2711,98123,0,0,0,87259,Nhava Sheva,15,337467,185382,0.375,152085,1.8203772729969847,717533.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
2019-01-07,4,2,3,0,5,14.142857142857142,0.0,32949,73206,1066,0,90263,50416,0,1979,0,25286,Nhava Sheva,14,197484,77681,0.26666666666666666,119803,2.5422105507067276,837336.0,14.142857142857142,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-08,4,2,2,1,5,14.714285714285714,0.0,70991,27791,0,0,149306,114397,2383,0,2592,26162,Nhava Sheva,14,248088,145534,0.26666666666666666,102554,1.704662108771086,894589.0,14.714285714285714,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-09,3,2,4,0,2,13.285714285714286,0.0,4650,0,0,0,7358,91412,26599,0,0,54148,Nhava Sheva,11,12008,172159,0.25,-160151,0.06974907063197026,663072.0,13.285714285714286,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-10,4,0,5,0,5,14.0,0.0,76887,0,2447,0,133431,63355,0,1093,0,543,Nhava Sheva,14,212765,64991,0.26666666666666666,147774,3.2737106105366816,629029.0,14.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-11,6,2,3,1,1,13.571428571428571,0.0,144992,56343,1066,0,466,75572,0,1979,0,0,Nhava Sheva,13,202867,77551,0.42857142857142855,125316,2.6158835362079635,513887.0,13.571428571428571,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-12,4,1,2,1,4,13.285714285714286,0.0,79230,10517,1155,0,62988,22834,0,0,0,27828,Nhava Sheva,12,153890,50662,0.3076923076923077,103228,3.037522452282731,590609.0,13.285714285714286,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-13,4,1,2,0,1,12.285714285714286,0.0,155368,0,0,0,0,40097,0,0,0,0,Nhava Sheva,8,155368,40097,0.4444444444444444,115271,3.874706967928575,553795.0,12.285714285714286,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-14,4,3,3,1,1,12.0,0.0,68903,29010,1916,172,0,68503,0,2198,853,0,Nhava Sheva,12,100001,71554,0.3076923076923077,28447,1.3975403535741737,462439.0,12.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-15,5,3,7,0,7,13.142857142857142,0.0,104730,41741,1066,0,173537,63509,0,3020,0,386,Nhava Sheva,22,321074,66915,0.21739130434782608,254159,4.798164863410843,614044.0,13.142857142857142,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-16,2,1,2,0,1,12.428571428571429,0.0,74642,46403,0,0,3132,129048,0,0,0,0,Nhava Sheva,6,124177,129048,0.2857142857142857,-4871,0.9622468984649242,769324.0,12.428571428571429,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-17,4,3,1,1,6,12.571428571428571,0.0,66136,72724,0,172,193946,50128,2383,0,853,7281,Nhava Sheva,15,332978,60645,0.25,272333,5.490518748144972,893883.0,12.571428571428571,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-18,3,3,4,0,3,12.571428571428571,0.0,134399,54321,1654,0,13492,62541,0,0,0,18004,Nhava Sheva,13,203866,80545,0.21428571428571427,123321,2.5310505797929133,891888.0,12.571428571428571,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-19,2,1,4,0,3,12.285714285714286,0.0,4068,26705,1916,0,55970,23655,0,568,0,2731,Nhava Sheva,10,88659,26954,0.18181818181818182,61705,3.2891485809682806,850365.0,12.285714285714286,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
