date,calls_container,calls_dry_bulk,calls_general_cargo,calls_roro,calls_tanker,7-day_moving_average,prior_year_7-day_moving_average,incoming_dwt_container,incoming_dwt_dry_bulk,incoming_dwt_general_cargo,incoming_dwt_roro,incoming_dwt_tanker,outgoing_dwt_container,outgoing_dwt_dry_bulk,outgoing_dwt_general_cargo,outgoing_dwt_roro,outgoing_dwt_tanker,port,total_calls,total_incoming_dwt,total_outgoing_dwt,container_ratio,net_dwt_flow,congestion_score,queue_buildup_7d,ma_7day,prior_year_ma,yoy_pct_change,anomaly_flag,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score,disruption_count,disruption_flag,state,state_numeric
2019-01-01,19,1,15,1,45,0.0,0.0,220971,0,10859,0,446909,122786,0,9815,2058,57896,Rotterdam,81,678739,192555,0.23170731707317074,486184,3.5248914601466588,486184.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-02,12,0,22,1,42,0.0,0.0,294914,0,20621,403,362055,46315,0,9381,0,57845,Rotterdam,77,677993,113541,0.15384615384615385,564452,5.971296964999736,1050636.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-03,27,1,13,8,49,0.0,0.0,259722,29763,3233,2205,647089,159094,0,7895,5514,92425,Rotterdam,98,942012,264928,0.2727272727272727,677084,3.5557149273956417,1727720.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-04,20,2,14,7,46,0.0,0.0,161496,84292,5515,2091,267856,142987,0,5983,1190,125838,Rotterdam,89,521250,275998,0.2222222222222222,245252,1.8885937992528958,1972972.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-05,18,4,7,4,59,0.0,0.0,135472,258645,4618,4057,984410,179744,0,1092,3571,158629,Rotterdam,92,1387202,343036,0.1935483870967742,1044166,4.04388447893376,3017138.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-06,18,3,9,4,44,0.0,0.0,58827,55214,5981,0,355214,157174,1217,3210,2171,148541,Rotterdam,78,475236,312313,0.22784810126582278,162923,1.5216608925632535,3180061.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4
2019-01-07,28,2,19,7,51,88.85714285714286,0.0,246433,178481,20688,2159,287403,74332,0,7718,4323,428146,Rotterdam,107,735164,514519,0.25925925925925924,220645,1.428834641996424,3400706.0,88.85714285714286,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1
2019-01-08,17,3,8,8,59,90.85714285714286,0.0,44660,131945,2469,667,502716,98008,0,6565,6239,97449,Rotterdam,95,682457,208261,0.17708333333333334,474196,3.2769156159068866,3388718.0,90.85714285714286,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-09,23,3,17,5,51,94.0,0.0,261774,232588,9575,2364,328636,109477,0,6117,1190,120949,Rotterdam,99,834937,237733,0.23,597204,3.5120639033541687,3421470.0,94.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
2019-01-10,24,1,15,5,58,94.71428571428572,0.0,359916,44650,12857,2083,758378,247120,0,7280,4471,150906,Rotterdam,103,1177884,409777,0.23076923076923078,768107,2.8744442112558506,3512493.0,94.71428571428572,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3
