date,calls_container,calls_dry_bulk,calls_general_cargo,calls_roro,calls_tanker,7-day_moving_average,prior_year_7-day_moving_average,incoming_dwt_container,incoming_dwt_dry_bulk,incoming_dwt_general_cargo,incoming_dwt_roro,incoming_dwt_tanker,outgoing_dwt_container,outgoing_dwt_dry_bulk,outgoing_dwt_general_cargo,outgoing_dwt_roro,outgoing_dwt_tanker,port,total_calls,total_incoming_dwt,total_outgoing_dwt,container_ratio,net_dwt_flow,congestion_score,queue_buildup_7d,ma_7day,prior_year_ma,yoy_pct_change,anomaly_flag,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score,disruption_count,disruption_flag,state,state_numeric
2019-01-01,52,5,7,3,67,0.0,0.0,271032,56739,4286,252,338232,594271,6016,8234,899,346568,Singapore,134,670541,955988,0.3851851851851852,-285447,0.7014107902915201,-285447.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-02,40,2,6,5,63,0.0,0.0,287618,13040,3358,2984,301513,603450,8947,3016,2351,463841,Singapore,116,608513,1081605,0.3418803418803419,-473092,0.5626013539126077,-758539.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-03,39,1,4,3,69,0.0,0.0,719668,0,6663,252,804011,534879,4593,1929,899,368893,Singapore,116,1530594,911193,0.3333333333333333,619401,1.679767426036607,-139138.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
2019-01-04,35,4,8,2,53,0.0,0.0,629325,43078,26263,0,552705,551993,3008,10820,2197,207555,Singapore,102,1251371,775573,0.33980582524271846,475798,1.6134772439509317,336660.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
2019-01-05,38,1,8,5,75,0.0,0.0,640055,0,5752,252,591847,506981,0,7738,10567,375797,Singapore,127,1237906,901083,0.296875,336823,1.3737964496095814,673483.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1
2019-01-06,37,3,5,5,68,0.0,0.0,578785,47046,4201,765,827714,479781,3966,3397,1411,479988,Singapore,118,1458511,968543,0.31092436974789917,489968,1.5058799600224668,1163451.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
2019-01-07,50,4,8,7,84,123.71428571428572,0.0,753950,86522,13108,774,880919,886494,7028,4016,7538,462504,Singapore,153,1735273,1367580,0.3246753246753247,367693,1.2688630508905872,1531144.0,123.71428571428572,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1
2019-01-08,49,2,7,5,60,122.14285714285714,0.0,314262,27542,4303,3951,680669,850648,0,7099,4885,255095,Singapore,123,1030727,1117727,0.3951612903225806,-87000,0.9221626370637579,1729591.0,122.14285714285714,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-09,45,2,8,5,57,122.28571428571428,0.0,697850,13040,3297,252,312594,701912,12018,5361,6744,200879,Singapore,117,1027033,926914,0.3813559322033898,100119,1.1080120615158888,2302802.0,122.28571428571428,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2019-01-10,44,4,4,1,74,123.85714285714286,0.0,780961,29105,9744,0,424981,621964,28186,833,2316,764632,Singapore,127,1244791,1417931,0.34375,-173140,0.8778918876222556,1510261.0,123.85714285714286,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
