date,calls_container,calls_dry_bulk,calls_general_cargo,calls_roro,calls_tanker,7-day_moving_average,prior_year_7-day_moving_average,incoming_dwt_container,incoming_dwt_dry_bulk,incoming_dwt_general_cargo,incoming_dwt_roro,incoming_dwt_tanker,outgoing_dwt_container,outgoing_dwt_dry_bulk,outgoing_dwt_general_cargo,outgoing_dwt_roro,outgoing_dwt_tanker,port,total_calls,total_incoming_dwt,total_outgoing_dwt,container_ratio,net_dwt_flow,congestion_score,queue_buildup_7d,ma_7day,prior_year_ma,yoy_pct_change,anomaly_flag,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score,disruption_count,disruption_flag,state,state_numeric
2023-01-01,31,3,2,4,70,120.14285714285714,116.85714285714286,326146,74875,3676,0,339746,323920,0,0,7961,457584,Singapore,110,744443,789465,0.27927927927927926,-45022,0.9429703115776994,2606844.0,120.14285714285714,116.85714285714286,2.8117359413202863,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2023-01-02,36,4,7,4,88,120.71428571428572,116.42857142857144,429150,8168,5197,1023,445839,421856,13718,5947,510,302406,Singapore,139,889377,744437,0.2571428571428571,144940,1.1946958645313646,2284357.0,120.71428571428572,116.42857142857144,3.680981595092017,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2023-01-03,45,2,7,5,65,123.0,114.85714285714286,324110,0,3856,252,682912,715985,7501,4466,4551,263298,Singapore,124,1011130,995801,0.36,15329,1.015392618211251,1878770.0,123.0,114.85714285714286,7.089552238805967,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2023-01-04,45,3,9,0,65,121.42857142857144,114.71428571428572,650728,1614,1928,0,381619,523429,0,9699,0,244514,Singapore,122,1035889,777642,0.36585365853658536,258247,1.3320881175552277,1644694.0,121.42857142857144,114.71428571428572,5.853051058530517,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1
2023-01-05,44,2,4,3,86,125.57142857142856,113.85714285714286,785560,26081,2587,522,804373,781351,6016,4347,1793,381077,Singapore,139,1619123,1174584,0.3142857142857143,444539,1.3784638829884597,1436435.0,125.57142857142856,113.85714285714286,10.288582183186932,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1
2023-01-06,33,1,6,5,64,123.28571428571428,113.0,142350,9962,2394,2537,878916,731197,0,7777,2808,310117,Singapore,109,1036159,1051899,0.3,-15740,0.9850356497765947,1404168.0,123.28571428571428,113.0,9.102402022755998,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2023-01-07,38,2,6,3,72,123.42857142857144,112.57142857142856,570156,34866,10847,252,477565,680041,0,1982,5370,286664,Singapore,121,1093686,974057,0.3114754098360656,119629,1.1228140418743031,921922.0,123.42857142857144,112.57142857142856,9.644670050761452,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2023-01-08,40,3,5,6,59,123.85714285714286,113.85714285714286,783880,22738,9437,0,447641,520515,54163,1666,8765,122111,Singapore,113,1263696,707220,0.3508771929824561,556476,1.7868473928234596,1523420.0,123.85714285714286,113.85714285714286,8.782936010037641,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
2023-01-09,35,2,6,7,89,123.85714285714286,113.14285714285714,514380,13040,2031,4807,320465,299642,3008,987,5698,527047,Singapore,139,854723,836382,0.25,18341,1.0219277531944098,1396821.0,123.85714285714286,113.14285714285714,9.469696969696976,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0
2023-01-10,48,2,5,3,86,126.71428571428572,114.28571428571428,733731,30163,4268,0,920008,740776,0,3332,1522,333619,Singapore,144,1688170,1079249,0.3310344827586207,608921,1.5642066249710447,1990413.0,126.71428571428572,114.28571428571428,10.875000000000016,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2
