"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",371291,2912,5533,4025,71172,,
"2019-01-02 00:00:00",221361,0,6913,0,110152,,
"2019-01-03 00:00:00",177884,0,4635,0,332704,,
"2019-01-04 00:00:00",258683,0,3812,358,168080,,
"2019-01-05 00:00:00",264298,0,731,358,108682,,
"2019-01-06 00:00:00",200852,44525,2117,0,80116,,
"2019-01-07 00:00:00",311657,0,35312,6723,135456,418622,
"2019-01-08 00:00:00",80191,0,2472,358,108435,380982.14285714284,
"2019-01-09 00:00:00",25125,24823,1463,2322,24186,343767,
"2019-01-10 00:00:00",265379,0,5637,953,241281,343485.28571428574,
"2019-01-11 00:00:00",165696,0,4215,962,68063,316057.14285714284,
"2019-01-12 00:00:00",266296,22994,2990,0,99007,318516.71428571426,
"2019-01-13 00:00:00",187149,95138,1921,3401,127037,330950.5714285714,
"2019-01-14 00:00:00",55220,33815,6808,6922,81542,287402,
"2019-01-15 00:00:00",0,66230,993,5473,167617,294381.71428571426,
"2019-01-16 00:00:00",283140,0,18616,358,172978,351120.5714285714,
"2019-01-17 00:00:00",139422,0,11066,0,116140,315888.71428571426,
"2019-01-18 00:00:00",238116,101870,1735,0,136545,350078.71428571426,
"2019-01-19 00:00:00",208969,0,14317,552,159782,348983.5714285714,
"2019-01-20 00:00:00",193662,25471,4679,110,102873,336433.28571428574,
"2019-01-21 00:00:00",197264,42540,15537,0,114124,362884.28571428574,
"2019-01-22 00:00:00",237480,94060,14552,4688,52917,386224.71428571426,
"2019-01-23 00:00:00",185571,0,4006,4929,262395,383626,
"2019-01-24 00:00:00",50817,0,3825,716,106974,368726.5714285714,
"2019-01-25 00:00:00",256127,42819,2698,1260,38586,349187.14285714284,
"2019-01-26 00:00:00",15965,0,10503,916,271980,337150.4285714286,
"2019-01-27 00:00:00",308354,55115,11102,509,56974,352187.5714285714,
"2019-01-28 00:00:00",37651,0,6589,716,70566,315910,
"2019-01-29 00:00:00",266981,0,7435,2880,187463,324633.14285714284,
"2019-01-30 00:00:00",198485,0,13368,358,117612,306479,
"2019-01-31 00:00:00",156607,0,4253,0,98466,320335.14285714284,
"2019-02-01 00:00:00",268869,31252,7040,604,175346,340566.85714285716,
"2019-02-02 00:00:00",46059,0,1921,0,236712,338470.85714285716,
"2019-02-03 00:00:00",391630,35869,3153,358,41068,344188.28571428574,
"2019-02-04 00:00:00",175604,0,3112,0,53469,360854.28571428574,
"2019-02-05 00:00:00",296493,789,4806,4630,70398,348334,
"2019-02-06 00:00:00",316764,0,9852,4121,88715,361138.4285714286,
"2019-02-07 00:00:00",68376,77361,4237,0,245060,380525.4285714286,
"2019-02-08 00:00:00",274557,0,32447,604,58946,363874.28571428574,
"2019-02-09 00:00:00",56432,0,6553,604,106567,347512,
"2019-02-10 00:00:00",252195,0,9209,604,291490,359143.4285714286,
"2019-02-11 00:00:00",73378,14568,30749,1321,71148,353283.4285714286,
"2019-02-12 00:00:00",261754,25878,3248,4000,69762,351501.4285714286,
"2019-02-13 00:00:00",58448,0,3152,3269,203332,329894,
"2019-02-14 00:00:00",217083,0,8965,6529,118590,323627.4285714286,
"2019-02-15 00:00:00",213750,67160,3056,604,104414,326831.85714285716,
"2019-02-16 00:00:00",348373,20603,13221,1924,159501,380184.28571428574,
"2019-02-17 00:00:00",180117,0,5897,3875,202968,357235.5714285714,
"2019-02-18 00:00:00",77570,0,5486,8563,59635,351534.28571428574,
