"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",105751,44937,4079,0,25811,,
"2019-01-02 00:00:00",205035,202021,7792,0,35650,,
"2019-01-03 00:00:00",296912,27049,7580,0,153090,,
"2019-01-04 00:00:00",24469,0,0,4031,55972,,
"2019-01-05 00:00:00",125847,0,2654,1772,125347,,
"2019-01-06 00:00:00",304001,7382,4353,4426,43289,,
"2019-01-07 00:00:00",351013,0,6078,0,105625,325996.5714285714,
"2019-01-08 00:00:00",125692,0,2824,1772,59619,327329.14285714284,
"2019-01-09 00:00:00",132780,0,3523,4949,23909,286566.71428571426,
"2019-01-10 00:00:00",263883,98503,51165,2039,127627,294936.4285714286,
"2019-01-11 00:00:00",167423,0,10405,4571,40577,314722.5714285714,
"2019-01-12 00:00:00",310150,0,6963,0,67112,333094.71428571426,
"2019-01-13 00:00:00",111785,357,5309,0,99319,312140.14285714284,
"2019-01-14 00:00:00",115301,59,6644,4036,135897,283457.5714285714,
"2019-01-15 00:00:00",196165,0,1174,978,23906,288074.14285714284,
"2019-01-16 00:00:00",351078,0,14260,2287,222494,348782.28571428574,
"2019-01-17 00:00:00",188526,0,12334,2052,33147,304902.5714285714,
"2019-01-18 00:00:00",450209,0,6817,2859,59264,347213.14285714284,
"2019-01-19 00:00:00",236176,0,4891,0,115173,343215.14285714284,
"2019-01-20 00:00:00",115360,0,5041,2138,128873,348164,
"2019-01-21 00:00:00",179568,6788,3233,4011,62769,347368.71428571426,
"2019-01-22 00:00:00",285656,0,6055,0,108331,372771.4285714286,
"2019-01-23 00:00:00",135180,0,23059,2986,116924,328204.5714285714,
"2019-01-24 00:00:00",348197,0,9805,3544,64420,355334,
"2019-01-25 00:00:00",148146,0,1681,8916,90999,316847.28571428574,
"2019-01-26 00:00:00",176985,31130,6782,5014,202651,326322,
"2019-01-27 00:00:00",107592,7824,22735,2171,40457,316231.5714285714,
"2019-01-28 00:00:00",319888,0,4083,7763,34303,331898.28571428574,
"2019-01-29 00:00:00",377217,0,712,7326,109567,345438.28571428574,
"2019-01-30 00:00:00",344392,0,19401,1772,49602,365012.14285714284,
"2019-01-31 00:00:00",206411,0,9882,8809,57901,344589,
"2019-02-01 00:00:00",211841,8392,4060,5068,95252,355284.71428571426,
"2019-02-02 00:00:00",301464,25613,4638,0,64893,351576.85714285716,
"2019-02-03 00:00:00",123772,0,3170,1772,53522,351785.14285714284,
"2019-02-04 00:00:00",323238,27053,8611,0,122905,368323.71428571426,
"2019-02-05 00:00:00",225067,59,11832,4491,97745,346091.28571428574,
"2019-02-06 00:00:00",296364,0,17619,6832,58606,340984.5714285714,
"2019-02-07 00:00:00",268676,0,12171,1842,54827,348771.85714285716,
"2019-02-08 00:00:00",354792,0,26042,978,227992,389513.5714285714,
"2019-02-09 00:00:00",75035,0,3342,2919,58366,352807.14285714284,
"2019-02-10 00:00:00",209595,0,5371,1852,169537,381966.85714285716,
"2019-02-11 00:00:00",234913,0,14472,4523,47608,356211.14285714284,
