"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",11,3,6,1,28,,
"2019-01-02 00:00:00",15,1,10,1,41,,
"2019-01-03 00:00:00",13,2,8,0,52,,
"2019-01-04 00:00:00",9,0,4,3,39,,
"2019-01-05 00:00:00",13,0,4,1,41,,
"2019-01-06 00:00:00",16,2,5,1,33,,
"2019-01-07 00:00:00",14,1,12,2,42,62,
"2019-01-08 00:00:00",13,0,6,3,35,63.142857142857146,
"2019-01-09 00:00:00",10,1,4,5,27,60.142857142857146,
"2019-01-10 00:00:00",20,3,17,4,57,63.857142857142854,
"2019-01-11 00:00:00",14,0,7,5,39,65.28571428571429,
"2019-01-12 00:00:00",14,3,5,2,41,66.14285714285714,
"2019-01-13 00:00:00",11,5,5,1,32,65.71428571428571,
"2019-01-14 00:00:00",7,3,12,5,49,66.42857142857143,
"2019-01-15 00:00:00",6,1,2,2,36,65,
"2019-01-16 00:00:00",21,0,11,5,44,69.85714285714286,
"2019-01-17 00:00:00",11,1,12,2,33,63.857142857142854,
"2019-01-18 00:00:00",19,3,6,2,57,67,
"2019-01-19 00:00:00",13,0,10,3,46,68,
"2019-01-20 00:00:00",16,3,8,2,38,69.85714285714286,
"2019-01-21 00:00:00",9,4,12,3,31,67.42857142857143,
"2019-01-22 00:00:00",13,1,13,3,46,71.57142857142857,
"2019-01-23 00:00:00",17,0,9,4,50,71.42857142857143,
"2019-01-24 00:00:00",16,1,9,3,39,72.71428571428571,
"2019-01-25 00:00:00",12,2,4,4,40,69.14285714285714,
"2019-01-26 00:00:00",7,1,14,2,49,69.28571428571429,
"2019-01-27 00:00:00",12,3,9,3,20,66.42857142857143,
"2019-01-28 00:00:00",7,1,7,3,36,65.71428571428571,
"2019-01-29 00:00:00",16,1,6,6,42,65,
"2019-01-30 00:00:00",16,1,12,3,49,65.14285714285714,
"2019-01-31 00:00:00",15,0,9,3,35,64.28571428571429,
"2019-02-01 00:00:00",14,2,8,4,49,66.42857142857143,
"2019-02-02 00:00:00",10,1,5,1,34,63.285714285714285,
"2019-02-03 00:00:00",14,1,4,2,27,63.42857142857143,
"2019-02-04 00:00:00",9,1,8,1,41,64.28571428571429,
"2019-02-05 00:00:00",14,1,10,3,42,64.14285714285714,
"2019-02-06 00:00:00",19,1,12,6,35,63,
"2019-02-07 00:00:00",11,1,12,1,31,62.142857142857146,
"2019-02-08 00:00:00",17,0,11,1,40,61,
"2019-02-09 00:00:00",6,0,7,4,43,62.285714285714285,
"2019-02-10 00:00:00",13,0,11,3,44,65.57142857142857,
"2019-02-11 00:00:00",12,1,15,3,36,66.57142857142857,
"2019-02-12 00:00:00",16,1,8,3,35,65.57142857142857,
"2019-02-13 00:00:00",12,2,7,3,54,66.28571428571429,
"2019-02-14 00:00:00",13,1,12,5,31,67.14285714285714,
"2019-02-15 00:00:00",15,3,5,5,43,67.42857142857143,
"2019-02-16 00:00:00",11,2,12,2,52,70.14285714285714,
"2019-02-17 00:00:00",20,0,9,1,34,69.14285714285714,
"2019-02-18 00:00:00",8,2,10,3,41,68.71428571428571,
"2019-02-19 00:00:00",15,1,12,1,36,69,
"2019-02-20 00:00:00",18,4,12,1,44,69.14285714285714,
"2019-02-21 00:00:00",11,2,11,1,31,68.28571428571429,
"2019-02-22 00:00:00",15,0,11,4,42,68.42857142857143,
"2019-02-23 00:00:00",14,3,5,3,36,65.85714285714286,
"2019-02-24 00:00:00",14,1,6,2,26,63.714285714285715,
"2019-02-25 00:00:00",8,7,20,2,44,66.14285714285714,
"2019-02-26 00:00:00",16,2,5,6,48,67.85714285714286,
"2019-02-27 00:00:00",16,0,18,4,40,67.71428571428571,
"2019-02-28 00:00:00",15,1,6,3,38,68.71428571428571,
"2019-03-01 00:00:00",13,1,9,4,42,68.28571428571429,
"2019-03-02 00:00:00",15,1,9,3,34,68.42857142857143,
"2019-03-03 00:00:00",11,0,12,3,37,70.42857142857143,
"2019-03-04 00:00:00",10,1,10,2,49,69.14285714285714,
"2019-03-05 00:00:00",12,2,10,2,37,67.14285714285714,
"2019-03-06 00:00:00",16,1,8,5,30,64.57142857142857,
"2019-03-07 00:00:00",12,0,10,3,43,65.28571428571429,
"2019-03-08 00:00:00",16,0,10,1,47,66,
"2019-03-09 00:00:00",9,1,10,3,48,67.28571428571429,
"2019-03-10 00:00:00",11,2,7,0,24,64.57142857142857,
"2019-03-11 00:00:00",7,1,10,1,37,62.285714285714285,
"2019-03-12 00:00:00",14,4,6,3,52,64.57142857142857,
"2019-03-13 00:00:00",16,5,6,4,33,65.14285714285714,
"2019-03-14 00:00:00",13,3,7,5,39,65,
"2019-03-15 00:00:00",17,0,6,4,41,64.14285714285714,
"2019-03-16 00:00:00",11,0,7,3,42,63,
"2019-03-17 00:00:00",13,1,6,1,43,65.85714285714286,
"2019-03-18 00:00:00",12,1,13,5,44,68.57142857142857,
"2019-03-19 00:00:00",8,3,12,3,38,66.42857142857143,
"2019-03-20 00:00:00",17,1,9,1,34,66.14285714285714,
"2019-03-21 00:00:00",11,1,10,6,42,66.57142857142857,
"2019-03-22 00:00:00",11,2,13,5,44,67.57142857142857,
"2019-03-23 00:00:00",15,5,6,2,45,69,
"2019-03-24 00:00:00",18,3,14,2,38,70.57142857142857,
"2019-03-25 00:00:00",7,1,11,2,49,69.85714285714286,
