"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",274841,15579,8018,138,13893,,
"2019-01-02 00:00:00",127281,6857,4409,0,22240,,
"2019-01-03 00:00:00",54093,4946,17556,427,14033,,
"2019-01-04 00:00:00",282115,10586,6162,138,23525,,
"2019-01-05 00:00:00",103391,0,8270,0,5545,,
"2019-01-06 00:00:00",121478,5293,7304,388,21232,,
"2019-01-07 00:00:00",261403,5293,13675,495,29709,210046,
"2019-01-08 00:00:00",257550,0,11110,0,15792,206043.42857142858,
"2019-01-09 00:00:00",203153,0,15529,316,15393,216558.42857142858,
"2019-01-10 00:00:00",100388,28984,8515,0,12433,225024.85714285713,
"2019-01-11 00:00:00",249213,5293,7916,0,5794,217266.14285714287,
"2019-01-12 00:00:00",86200,7627,11482,316,28572,219693.7142857143,
"2019-01-13 00:00:00",129350,0,14793,178,13559,220005.85714285713,
"2019-01-14 00:00:00",138969,46418,18410,633,30171,209152.7142857143,
"2019-01-15 00:00:00",99761,9522,3654,0,20188,187534.57142857142,
"2019-01-16 00:00:00",183511,8392,2269,178,3961,182380.2857142857,
"2019-01-17 00:00:00",134632,0,3704,427,36812,185988.14285714287,
"2019-01-18 00:00:00",191762,3305,7576,0,31040,181055,
"2019-01-19 00:00:00",143485,10586,3685,178,22438,187651.2857142857,
"2019-01-20 00:00:00",287002,22642,13781,178,8911,212599.14285714287,
"2019-01-21 00:00:00",153579,0,20174,1889,21902,207305.14285714287,
"2019-01-22 00:00:00",236264,26379,6376,0,21163,229742,
"2019-01-23 00:00:00",206006,18411,8803,178,21594,237839.2857142857,
"2019-01-24 00:00:00",191789,0,10554,0,23942,245083.57142857142,
"2019-01-25 00:00:00",109385,7555,4538,0,36546,234275.14285714287,
"2019-01-26 00:00:00",132183,0,5287,178,35209,233201.42857142858,
"2019-01-27 00:00:00",168815,35459,15975,357,19691,220027.42857142858,
"2019-01-28 00:00:00",197982,31695,19547,495,23889,230893.7142857143,
"2019-01-29 00:00:00",137386,5731,9598,0,24854,214806,
"2019-01-30 00:00:00",208809,8130,16288,495,20119,214641.42857142858,
"2019-01-31 00:00:00",103211,32797,13260,0,2594,204009.7142857143,
"2019-02-01 00:00:00",208352,0,13339,0,16642,215482.14285714287,
"2019-02-02 00:00:00",83730,18578,3362,316,49503,213001.14285714287,
"2019-02-03 00:00:00",209051,3596,6328,138,18618,212634.7142857143,
"2019-02-04 00:00:00",175211,0,12352,138,38076,205801.57142857142,
"2019-02-05 00:00:00",261821,21593,7812,0,17044,224473.42857142858,
"2019-02-06 00:00:00",171304,30936,15004,0,22806,222503.14285714287,
