"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",128113,10578,1835,718,11362,,
"2019-01-02 00:00:00",189867,13476,3928,0,12187,,
"2019-01-03 00:00:00",185861,0,5078,37,26759,,
"2019-01-04 00:00:00",129788,7339,4638,718,5511,,
"2019-01-05 00:00:00",163543,0,3829,0,2042,,
"2019-01-06 00:00:00",246333,3669,917,348,3170,,
"2019-01-07 00:00:00",121099,8621,6368,1415,14604,187680.2857142857,
"2019-01-08 00:00:00",169278,0,2637,0,4738,191115.42857142858,
"2019-01-09 00:00:00",122425,0,2050,1067,87794,190241,
"2019-01-10 00:00:00",130911,0,2179,0,3028,178581.42857142858,
"2019-01-11 00:00:00",254791,85208,10192,0,6994,208465.85714285713,
"2019-01-12 00:00:00",169001,4302,5620,1067,9716,211364.7142857143,
"2019-01-13 00:00:00",245578,0,3377,348,8497,211845,
"2019-01-14 00:00:00",111338,3669,5105,2134,3629,208097.57142857142,
"2019-01-15 00:00:00",77694,253,458,0,7141,195082.57142857142,
"2019-01-16 00:00:00",166926,0,3511,936,10312,190560.85714285713,
"2019-01-17 00:00:00",188855,0,7721,246,4373,199857.7142857143,
"2019-01-18 00:00:00",159800,0,4652,0,9426,173670.7142857143,
"2019-01-19 00:00:00",189912,7339,3997,4296,17872,178486.57142857142,
"2019-01-20 00:00:00",220102,0,1835,348,1836,173675.42857142858,
"2019-01-21 00:00:00",73714,0,5828,1067,5412,167982,
"2019-01-22 00:00:00",166749,3669,1835,0,5369,181135.57142857142,
"2019-01-23 00:00:00",191355,11009,917,348,3534,184775.42857142858,
"2019-01-24 00:00:00",114375,0,2294,0,9508,174058.42857142858,
"2019-01-25 00:00:00",107581,1537,3196,0,3673,165788.42857142858,
"2019-01-26 00:00:00",236248,0,711,348,3378,168255.2857142857,
"2019-01-27 00:00:00",125975,552,2287,696,21227,157771.85714285713,
"2019-01-28 00:00:00",146453,3669,5146,1415,6324,168769.85714285713,
"2019-01-29 00:00:00",175923,0,3492,0,5938,169874.14285714287,
"2019-01-30 00:00:00",175881,0,2753,1415,3574,166511.2857142857,
