"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",39,4,8,1,7,,
"2019-01-02 00:00:00",30,6,9,0,8,,
"2019-01-03 00:00:00",27,1,12,1,10,,
"2019-01-04 00:00:00",30,2,8,2,9,,
"2019-01-05 00:00:00",36,0,11,0,5,,
"2019-01-06 00:00:00",47,1,4,2,7,,
"2019-01-07 00:00:00",33,4,13,3,15,56.42857142857143,
"2019-01-08 00:00:00",41,0,8,1,8,56.285714285714285,
"2019-01-09 00:00:00",39,0,7,2,10,57,
"2019-01-10 00:00:00",34,1,8,1,5,56.714285714285715,
"2019-01-11 00:00:00",43,3,7,1,9,58.42857142857143,
"2019-01-12 00:00:00",38,3,7,2,12,59.857142857142854,
"2019-01-13 00:00:00",42,2,13,1,9,60.714285714285715,
"2019-01-14 00:00:00",35,2,12,4,11,60.142857142857146,
"2019-01-15 00:00:00",28,2,4,2,10,58.42857142857143,
"2019-01-16 00:00:00",40,2,4,2,5,57.714285714285715,
"2019-01-17 00:00:00",31,0,6,2,10,57.714285714285715,
"2019-01-18 00:00:00",39,2,8,1,11,57.42857142857143,
"2019-01-19 00:00:00",42,2,6,2,12,57.714285714285715,
"2019-01-20 00:00:00",43,1,10,1,6,56.857142857142854,
"2019-01-21 00:00:00",21,3,9,5,11,54.714285714285715,
"2019-01-22 00:00:00",37,4,5,1,11,56.42857142857143,
"2019-01-23 00:00:00",41,4,6,1,9,57.57142857142857,
"2019-01-24 00:00:00",34,0,8,3,14,59,
"2019-01-25 00:00:00",27,3,6,0,12,57.142857142857146,
"2019-01-26 00:00:00",39,0,5,1,7,55.42857142857143,
"2019-01-27 00:00:00",39,3,16,3,9,56.714285714285715,
"2019-01-28 00:00:00",42,4,16,3,12,60.714285714285715,
"2019-01-29 00:00:00",35,2,7,0,13,60.57142857142857,
"2019-01-30 00:00:00",41,1,10,4,7,60.857142857142854,
"2019-01-31 00:00:00",27,8,12,1,5,60,
"2019-02-01 00:00:00",39,1,14,1,7,62,
"2019-02-02 00:00:00",32,5,7,3,8,62.42857142857143,
"2019-02-03 00:00:00",39,1,8,1,8,60.57142857142857,
"2019-02-04 00:00:00",25,0,8,1,13,56.285714285714285,
"2019-02-05 00:00:00",25,2,5,0,10,54.142857142857146,
"2019-02-06 00:00:00",35,3,12,0,11,53.857142857142854,
"2019-02-07 00:00:00",32,2,9,4,11,54.57142857142857,
"2019-02-08 00:00:00",43,3,7,1,7,54.42857142857143,
"2019-02-09 00:00:00",28,3,4,1,7,52.714285714285715,
"2019-02-10 00:00:00",39,3,11,2,11,54,
"2019-02-11 00:00:00",31,1,3,4,11,54.42857142857143,
"2019-02-12 00:00:00",37,0,6,0,15,56.714285714285715,
"2019-02-13 00:00:00",37,1,9,3,10,56.57142857142857,
"2019-02-14 00:00:00",35,2,5,1,10,55.857142857142854,
"2019-02-15 00:00:00",33,3,8,3,10,55.285714285714285,
"2019-02-16 00:00:00",36,0,5,2,6,56.142857142857146,
"2019-02-17 00:00:00",31,2,8,2,10,54.285714285714285,
"2019-02-18 00:00:00",31,1,5,3,14,54.857142857142854,
"2019-02-19 00:00:00",38,0,8,1,18,55.857142857142854,
"2019-02-20 00:00:00",40,5,8,2,10,56.57142857142857,
"2019-02-21 00:00:00",27,2,5,1,3,54.42857142857143,
"2019-02-22 00:00:00",34,2,11,1,7,54.142857142857146,
"2019-02-23 00:00:00",44,1,6,2,10,56.142857142857146,
"2019-02-24 00:00:00",35,3,8,1,9,56.57142857142857,
"2019-02-25 00:00:00",29,4,9,4,11,57,
"2019-02-26 00:00:00",40,3,8,1,7,56.142857142857146,
"2019-02-27 00:00:00",35,6,10,2,8,55.57142857142857,
"2019-02-28 00:00:00",32,4,7,2,7,57.57142857142857,
"2019-03-01 00:00:00",38,0,8,0,6,57.142857142857146,
"2019-03-02 00:00:00",34,0,6,0,9,55.142857142857146,
"2019-03-03 00:00:00",36,5,6,3,13,56.142857142857146,
"2019-03-04 00:00:00",33,0,10,3,7,55.57142857142857,
"2019-03-05 00:00:00",41,3,9,2,9,56.285714285714285,
"2019-03-06 00:00:00",38,5,9,2,13,57.142857142857146,
"2019-03-07 00:00:00",32,5,8,0,14,58.142857142857146,
"2019-03-08 00:00:00",33,2,10,2,8,58.57142857142857,
"2019-03-09 00:00:00",35,1,9,1,6,59,
"2019-03-10 00:00:00",36,4,8,1,5,57.714285714285715,
"2019-03-11 00:00:00",38,4,12,3,11,59.857142857142854,
"2019-03-12 00:00:00",39,3,2,1,5,57.857142857142854,
"2019-03-13 00:00:00",32,1,11,2,12,56.57142857142857,
"2019-03-14 00:00:00",37,2,8,2,12,56.857142857142854,
"2019-03-15 00:00:00",34,2,10,0,13,57.42857142857143,
"2019-03-16 00:00:00",37,0,7,1,5,57.142857142857146,
"2019-03-17 00:00:00",46,0,13,1,11,59.57142857142857,
"2019-03-18 00:00:00",33,5,12,6,15,60,
"2019-03-19 00:00:00",38,3,4,0,4,59.857142857142854,
"2019-03-20 00:00:00",29,0,7,0,8,57.857142857142854,
"2019-03-21 00:00:00",34,2,8,1,11,57.142857142857146,
"2019-03-22 00:00:00",36,0,11,2,12,57.42857142857143,
"2019-03-23 00:00:00",36,5,6,2,7,58.285714285714285,
"2019-03-24 00:00:00",40,1,7,5,12,57.42857142857143,
"2019-03-25 00:00:00",33,1,11,3,15,56.285714285714285,
"2019-03-26 00:00:00",37,2,13,0,6,57.57142857142857,
"2019-03-27 00:00:00",41,2,7,2,11,60.285714285714285,
"2019-03-28 00:00:00",34,2,12,1,8,60.42857142857143,
"2019-03-29 00:00:00",39,2,6,1,1,58.714285714285715,
"2019-03-30 00:00:00",33,3,6,3,9,58.42857142857143,
"2019-03-31 00:00:00",40,3,6,1,9,57.57142857142857,
"2019-04-01 00:00:00",34,2,10,3,12,57.285714285714285,
"2019-04-02 00:00:00",27,2,15,1,8,56.57142857142857,
"2019-04-03 00:00:00",40,3,9,1,5,55.857142857142854,
"2019-04-04 00:00:00",27,3,10,1,8,54.714285714285715,
"2019-04-05 00:00:00",39,1,11,2,6,56.142857142857146,
"2019-04-06 00:00:00",37,5,10,2,8,57.285714285714285,
"2019-04-07 00:00:00",31,2,4,1,12,56,
"2019-04-08 00:00:00",34,4,11,3,8,55.857142857142854,
"2019-04-09 00:00:00",23,0,6,0,12,54.142857142857146,
"2019-04-10 00:00:00",42,1,12,3,10,55.57142857142857,
"2019-04-11 00:00:00",42,4,8,1,13,58.285714285714285,
"2019-04-12 00:00:00",32,2,8,1,7,57,
"2019-04-13 00:00:00",51,1,11,2,7,58.42857142857143,
"2019-04-14 00:00:00",36,1,8,2,10,59.42857142857143,
"2019-04-15 00:00:00",31,2,9,3,13,59.142857142857146,
"2019-04-16 00:00:00",33,1,9,1,10,61,
"2019-04-17 00:00:00",39,5,9,1,4,59.57142857142857,
"2019-04-18 00:00:00",31,3,3,2,13,57.285714285714285,
"2019-04-19 00:00:00",40,2,9,0,6,58.285714285714285,
"2019-04-20 00:00:00",50,2,8,2,5,57.57142857142857,
"2019-04-21 00:00:00",31,2,6,4,9,56.857142857142854,
"2019-04-22 00:00:00",33,1,8,4,9,56.42857142857143,
"2019-04-23 00:00:00",31,3,9,1,12,56.714285714285715,
"2019-04-24 00:00:00",36,4,7,2,6,56.285714285714285,
"2019-04-25 00:00:00",38,3,14,0,12,58.42857142857143,
"2019-04-26 00:00:00",30,3,8,3,14,58.57142857142857,
"2019-04-27 00:00:00",48,6,7,1,8,59,
"2019-04-28 00:00:00",33,0,14,2,16,60.857142857142854,
"2019-04-29 00:00:00",33,3,12,3,7,61.285714285714285,
"2019-04-30 00:00:00",10,1,1,1,3,55.57142857142857,
"2019-05-01 00:00:00",41,4,14,1,14,58.285714285714285,
"2019-05-02 00:00:00",33,6,5,2,12,57,
"2019-05-03 00:00:00",35,0,4,3,14,56.714285714285715,
"2019-05-04 00:00:00",34,2,8,1,6,54,
"2019-05-05 00:00:00",42,4,5,1,8,53.285714285714285,
"2019-05-06 00:00:00",33,2,10,2,9,53,
"2019-05-07 00:00:00",34,0,5,2,11,58.142857142857146,
"2019-05-08 00:00:00",37,5,7,1,14,56.714285714285715,
"2019-05-09 00:00:00",34,2,7,1,10,56.142857142857146,
"2019-05-10 00:00:00",41,2,12,2,7,57.285714285714285,
"2019-05-11 00:00:00",37,1,9,4,7,58.285714285714285,
"2019-05-12 00:00:00",33,0,11,2,8,57.42857142857143,
"2019-05-13 00:00:00",38,2,9,3,9,58.142857142857146,
"2019-05-14 00:00:00",34,1,8,0,10,58.285714285714285,
"2019-05-15 00:00:00",42,1,6,2,8,57.57142857142857,
"2019-05-16 00:00:00",29,0,5,3,8,56.285714285714285,
"2019-05-17 00:00:00",43,2,9,1,6,55.857142857142854,
"2019-05-18 00:00:00",35,3,5,1,7,54.857142857142854,
"2019-05-19 00:00:00",31,2,14,1,14,56,
"2019-05-20 00:00:00",31,1,11,3,9,55.142857142857146,
"2019-05-21 00:00:00",32,1,4,1,5,53.714285714285715,
"2019-05-22 00:00:00",37,2,4,3,7,52.857142857142854,
"2019-05-23 00:00:00",35,2,6,2,9,54.142857142857146,
"2019-05-24 00:00:00",35,5,6,0,11,53.57142857142857,
"2019-05-25 00:00:00",41,1,9,1,4,54.285714285714285,
