"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",18676,0,0,0,12128,,
"2019-01-02 00:00:00",146293,57932,490,0,39044,,
"2019-01-03 00:00:00",421452,34745,0,0,56477,,
"2019-01-04 00:00:00",254548,86587,1070,0,79132,,
"2019-01-05 00:00:00",13930,71916,0,0,27031,,
"2019-01-06 00:00:00",212903,0,0,0,4816,,
"2019-01-07 00:00:00",197155,257175,490,0,9941,286276.71428571426,
"2019-01-08 00:00:00",78222,0,490,0,4214,293722.71428571426,
"2019-01-09 00:00:00",215365,129902,158,0,10679,309772.14285714284,
"2019-01-10 00:00:00",288732,97955,12510,1831,65414,303167.71428571426,
"2019-01-11 00:00:00",136888,228795,4981,0,56487,303998.28571428574,
"2019-01-12 00:00:00",40105,0,2292,0,290,293971.14285714284,
"2019-01-13 00:00:00",104482,37259,512,0,31174,287643.85714285716,
"2019-01-14 00:00:00",30611,0,490,0,556,225771.57142857142,
"2019-01-15 00:00:00",137665,0,1820,0,43268,240032.85714285713,
"2019-01-16 00:00:00",404736,0,5503,0,6713,248725.42857142858,
"2019-01-17 00:00:00",195266,130644,0,0,11558,230300.57142857142,
"2019-01-18 00:00:00",46758,0,3302,0,24470,179926.14285714287,
"2019-01-19 00:00:00",126335,0,4840,0,48937,199558.2857142857,
"2019-01-20 00:00:00",71878,115604,2222,3027,0,202316.14285714287,
"2019-01-21 00:00:00",70638,138235,3873,0,126,228204.14285714287,
"2019-01-22 00:00:00",425772,71916,358,0,30480,277600.14285714284,
"2019-01-23 00:00:00",65684,0,5560,0,48809,235185.85714285713,
"2019-01-24 00:00:00",265530,57288,1353,0,581,233369.14285714287,
"2019-01-25 00:00:00",55530,0,1960,0,76650,241884.7142857143,
"2019-01-26 00:00:00",187141,0,662,0,24557,246491.7142857143,
"2019-01-27 00:00:00",70234,0,1825,1024,9691,230783.57142857142,
"2019-01-28 00:00:00",119836,0,1316,0,18190,220279.2857142857,
"2019-01-29 00:00:00",313346,0,490,0,54048,197330.42857142858,
"2019-01-30 00:00:00",55972,116866,243,0,2308,205235.7142857143,
"2019-01-31 00:00:00",42043,97340,0,0,5829,179587.2857142857,
"2019-02-01 00:00:00",227877,0,1055,0,10638,194648.85714285713,
"2019-02-02 00:00:00",64084,73558,0,0,18045,186552.57142857142,
"2019-02-03 00:00:00",82688,0,490,0,31671,191134.42857142858,
"2019-02-04 00:00:00",126917,79467,1789,486,290,201078.57142857142,
"2019-02-05 00:00:00",217035,0,5891,0,58014,188658.14285714287,
"2019-02-06 00:00:00",194902,123492,2444,0,2423,209782.57142857142,
"2019-02-07 00:00:00",89870,51859,490,0,8634,210588.42857142858,
"2019-02-08 00:00:00",246745,29472,980,0,46052,222542.7142857143,
"2019-02-09 00:00:00",122268,117476,1714,0,37014,240083.42857142858,
"2019-02-10 00:00:00",70650,4728,92,0,15978,236740.57142857142,
"2019-02-11 00:00:00",396127,167752,3199,0,31546,292408.14285714284,
"2019-02-12 00:00:00",331810,102584,980,0,7390,315525.5714285714,
"2019-02-13 00:00:00",220264,0,2213,0,0,301127.85714285716,
"2019-02-14 00:00:00",151333,0,14540,0,0,303273.28571428574,
"2019-02-15 00:00:00",237681,28378,1470,486,10519,296885.5714285714,
"2019-02-16 00:00:00",110457,0,5232,0,34829,278606.4285714286,
"2019-02-17 00:00:00",175293,0,0,0,38338,296061,
"2019-02-18 00:00:00",112022,71419,0,0,36849,242013.2857142857,
"2019-02-19 00:00:00",386602,31926,2186,0,17121,241309.42857142858,
"2019-02-20 00:00:00",98449,0,980,0,28656,227824.7142857143,
"2019-02-21 00:00:00",57333,149715,490,0,61186,242518,
"2019-02-22 00:00:00",119993,0,4516,0,46512,227158.7142857143,
"2019-02-23 00:00:00",79433,41876,2485,0,49376,230394.85714285713,
"2019-02-24 00:00:00",108794,88682,1230,0,11879,229959.85714285713,
