"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",74554,0,3195,0,18397,,
"2019-01-02 00:00:00",1963,0,991,830,9768,,
"2019-01-03 00:00:00",71190,0,2843,0,5774,,
"2019-01-04 00:00:00",35278,0,3673,435,4760,,
"2019-01-05 00:00:00",211646,0,2757,0,2799,,
"2019-01-06 00:00:00",120331,0,5872,0,3449,,
"2019-01-07 00:00:00",95772,0,991,0,4318,97370.28571428571,
"2019-01-08 00:00:00",26508,0,7616,0,21352,91560.14285714286,
"2019-01-09 00:00:00",117294,27168,3126,0,2799,111108.14285714286,
"2019-01-10 00:00:00",319954,8412,4713,2468,3271,148109.7142857143,
"2019-01-11 00:00:00",154106,3094,6403,0,15017,167320.14285714287,
"2019-01-12 00:00:00",140465,0,0,2329,28265,160728.42857142858,
"2019-01-13 00:00:00",113790,0,3938,0,11169,160620.7142857143,
"2019-01-14 00:00:00",260916,0,2076,0,2849,184157.85714285713,
"2019-01-15 00:00:00",264007,0,4127,0,1214,214711,
"2019-01-16 00:00:00",181107,0,3257,0,23281,222890.7142857143,
"2019-01-17 00:00:00",101907,0,4781,0,1723,189975.2857142857,
"2019-01-18 00:00:00",70783,0,7312,0,14486,177684,
"2019-01-19 00:00:00",218494,0,1982,0,726,184847.14285714287,
"2019-01-20 00:00:00",84451,0,6102,0,1676,179608.85714285713,
"2019-01-21 00:00:00",134860,0,12543,0,0,162689.14285714287,
"2019-01-22 00:00:00",174203,0,5762,0,9001,151206.14285714287,
"2019-01-23 00:00:00",101853,0,3293,0,7700,137663.42857142858,
"2019-01-24 00:00:00",156341,0,1982,3643,2396,145656.42857142858,
"2019-01-25 00:00:00",146913,0,6682,0,22552,157594.42857142858,
"2019-01-26 00:00:00",188057,0,2660,0,3195,153695.85714285713,
"2019-01-27 00:00:00",128070,0,4530,0,15846,161726.85714285713,
"2019-01-28 00:00:00",120534,0,1421,0,3061,158528.57142857142,
"2019-01-29 00:00:00",300309,0,2688,0,17724,177350.7142857143,
"2019-01-30 00:00:00",95505,8412,4336,0,17144,179143.7142857143,
"2019-01-31 00:00:00",110993,48760,3731,3540,0,179524,
"2019-02-01 00:00:00",169992,0,9368,0,9097,181282.7142857143,
"2019-02-02 00:00:00",251669,0,3537,0,1912,190312.14285714287,
"2019-02-03 00:00:00",97472,0,991,0,2155,183479.57142857142,
"2019-02-04 00:00:00",156761,0,5612,993,395,189014.7142857143,
"2019-02-05 00:00:00",76330,0,2135,2104,9842,156113.2857142857,
"2019-02-06 00:00:00",143330,0,0,0,2426,159021.7142857143,
"2019-02-07 00:00:00",58328,0,3900,0,2245,144371.57142857142,
"2019-02-08 00:00:00",110920,0,1982,0,1086,133733,
"2019-02-09 00:00:00",263835,0,1164,0,24285,138328.14285714287,
"2019-02-10 00:00:00",269627,30483,3397,0,10500,168812.2857142857,
"2019-02-11 00:00:00",171329,2955,2864,0,6922,171713.7142857143,
"2019-02-12 00:00:00",215914,0,5707,0,5357,191223.14285714287,
"2019-02-13 00:00:00",124774,31027,7977,0,4792,194482.42857142858,
"2019-02-14 00:00:00",136160,0,7227,3603,45474,212766.85714285713,
"2019-02-15 00:00:00",182352,0,4132,993,16947,225686.14285714287,
"2019-02-16 00:00:00",144165,0,6258,0,395,205905.42857142858,
"2019-02-17 00:00:00",186743,0,4794,0,751,188517.14285714287,
"2019-02-18 00:00:00",435616,3097,0,0,3270,225361.85714285713,
"2019-02-19 00:00:00",83224,40127,2809,0,1404,211160.2857142857,
"2019-02-20 00:00:00",255099,13776,4491,0,2799,226530.85714285713,
"2019-02-21 00:00:00",40349,0,2845,0,395,205263,
"2019-02-22 00:00:00",100290,0,4275,0,15263,193177.85714285713,
"2019-02-23 00:00:00",72845,0,2757,0,5534,183223.2857142857,
"2019-02-24 00:00:00",149706,0,255,0,40346,182940.14285714287,
"2019-02-25 00:00:00",256545,0,6036,0,11868,159006.42857142858,
"2019-02-26 00:00:00",13086,17442,315,0,6587,146130.14285714287,
"2019-02-27 00:00:00",226719,0,6376,993,5424,140894,
"2019-02-28 00:00:00",214162,0,3713,0,1771,166045,
"2019-03-01 00:00:00",214747,46391,3024,1647,10373,188381.57142857142,
"2019-03-02 00:00:00",236331,0,6953,0,9935,212964.85714285713,
"2019-03-03 00:00:00",174559,0,4774,0,17969,213964.14285714287,
"2019-03-04 00:00:00",132975,0,6726,0,10263,196180.85714285713,
"2019-03-05 00:00:00",177329,0,1115,0,1240,216502.57142857142,
"2019-03-06 00:00:00",136040,0,4584,0,16586,204745.14285714287,
"2019-03-07 00:00:00",190410,0,2072,674,7837,202080.42857142858,
"2019-03-08 00:00:00",42443,2384,1554,0,12035,170970.85714285713,
"2019-03-09 00:00:00",124619,0,3070,503,13232,155000.2857142857,
"2019-03-10 00:00:00",215648,0,4693,0,1771,158544.57142857142,
"2019-03-11 00:00:00",161575,0,11651,0,43130,168029,
"2019-03-12 00:00:00",75087,0,1515,503,15383,155572.57142857142,
"2019-03-13 00:00:00",104959,0,10526,0,14467,151678.7142857143,
"2019-03-14 00:00:00",15581,0,2282,0,10229,126978.57142857143,
"2019-03-15 00:00:00",59496,0,3234,0,19444,130372.57142857143,
"2019-03-16 00:00:00",126309,0,2891,0,10865,130178.28571428571,
"2019-03-17 00:00:00",223560,27124,0,0,3715,134790.85714285713,
"2019-03-18 00:00:00",230309,0,2733,993,6920,138305.14285714287,
"2019-03-19 00:00:00",61295,51502,2756,0,18907,144301.14285714287,
"2019-03-20 00:00:00",129265,0,9547,0,17471,148062.57142857142,
"2019-03-21 00:00:00",99250,57088,4524,1230,1214,167378.85714285713,
"2019-03-22 00:00:00",196983,0,596,0,2193,184178.57142857142,
"2019-03-23 00:00:00",201003,0,3108,3262,16652,196172.7142857143,
"2019-03-24 00:00:00",142459,0,5546,1094,0,181129.7142857143,
"2019-03-25 00:00:00",137652,34974,5739,0,21663,175283,
"2019-03-26 00:00:00",225031,0,3594,0,3090,189176.42857142858,
"2019-03-27 00:00:00",316879,39221,8782,0,18506,221620,
"2019-03-28 00:00:00",192995,0,7431,503,2750,227387.7142857143,
"2019-03-29 00:00:00",181740,73298,5185,503,31467,240590.85714285713,
"2019-03-30 00:00:00",153670,0,3398,0,4552,231675.85714285713,
"2019-03-31 00:00:00",175514,0,1217,0,0,235623.2857142857,
"2019-04-01 00:00:00",259038,0,2604,0,4879,245122.2857142857,
"2019-04-02 00:00:00",248219,0,5072,993,13168,250227.57142857142,
"2019-04-03 00:00:00",288976,33290,1996,2302,22830,245371.42857142858,
"2019-04-04 00:00:00",88705,0,8726,1791,6908,231435.7142857143,
"2019-04-05 00:00:00",240056,0,5485,0,989,224912.2857142857,
"2019-04-06 00:00:00",168237,78652,620,0,9786,238580.2857142857,
"2019-04-07 00:00:00",191854,0,4126,0,14108,243345.57142857142,
"2019-04-08 00:00:00",231442,0,53,0,7622,239430.7142857143,
"2019-04-09 00:00:00",158006,0,8003,0,4305,225553.7142857143,
"2019-04-10 00:00:00",194085,0,5265,5455,7882,206024,
"2019-04-11 00:00:00",252466,0,4949,0,638,227727.14285714287,
"2019-04-12 00:00:00",105867,0,3549,0,24720,211670.85714285713,
"2019-04-13 00:00:00",154893,31781,453,0,6711,202605.57142857142,
"2019-04-14 00:00:00",85093,0,0,0,15755,186999.85714285713,
"2019-04-15 00:00:00",175991,0,3179,1997,6569,179659.7142857143,
"2019-04-16 00:00:00",191112,0,2379,0,3437,183461.85714285713,
"2019-04-17 00:00:00",260026,0,6810,503,0,191269.42857142858,
"2019-04-18 00:00:00",86369,0,0,0,7145,167764,
"2019-04-19 00:00:00",115677,0,624,0,395,165272.7142857143,
