"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",6,0,2,0,7,,
"2019-01-02 00:00:00",5,1,1,1,5,,
"2019-01-03 00:00:00",11,1,3,0,4,,
"2019-01-04 00:00:00",9,1,4,1,6,,
"2019-01-05 00:00:00",10,1,3,0,4,,
"2019-01-06 00:00:00",13,0,5,0,3,,
"2019-01-07 00:00:00",15,4,2,0,7,19.285714285714285,
"2019-01-08 00:00:00",5,0,5,0,4,19.142857142857142,
"2019-01-09 00:00:00",9,4,4,0,2,20,
"2019-01-10 00:00:00",10,2,7,3,7,21.428571428571427,
"2019-01-11 00:00:00",13,4,8,0,7,23,
"2019-01-12 00:00:00",8,0,2,1,6,22.857142857142858,
"2019-01-13 00:00:00",10,2,4,0,7,23.142857142857142,
"2019-01-14 00:00:00",12,1,3,0,3,21.857142857142858,
"2019-01-15 00:00:00",16,0,6,1,6,24,
"2019-01-16 00:00:00",10,0,4,0,6,24.142857142857142,
"2019-01-17 00:00:00",8,2,6,0,4,22.857142857142858,
"2019-01-18 00:00:00",10,0,8,0,6,21.714285714285715,
"2019-01-19 00:00:00",14,0,4,0,3,22.285714285714285,
"2019-01-20 00:00:00",7,2,4,1,2,21.285714285714285,
"2019-01-21 00:00:00",12,1,5,0,2,21.428571428571427,
"2019-01-22 00:00:00",16,1,7,0,7,21.714285714285715,
"2019-01-23 00:00:00",9,0,5,0,5,21.571428571428573,
"2019-01-24 00:00:00",6,1,3,1,3,20.714285714285715,
"2019-01-25 00:00:00",14,0,8,0,8,21.571428571428573,
"2019-01-26 00:00:00",10,0,3,0,4,21,
"2019-01-27 00:00:00",10,0,5,1,6,21.857142857142858,
"2019-01-28 00:00:00",9,0,3,0,4,21.285714285714285,
"2019-01-29 00:00:00",19,0,2,0,6,20.714285714285715,
"2019-01-30 00:00:00",8,2,4,0,8,21.142857142857142,
"2019-01-31 00:00:00",7,2,3,1,2,21.285714285714285,
"2019-02-01 00:00:00",14,0,7,0,7,21,
"2019-02-02 00:00:00",10,1,3,0,3,21,
"2019-02-03 00:00:00",7,0,1,0,4,19.571428571428573,
"2019-02-04 00:00:00",13,1,5,1,1,20.285714285714285,
"2019-02-05 00:00:00",13,0,4,1,3,19.428571428571427,
"2019-02-06 00:00:00",8,2,1,0,5,18.571428571428573,
"2019-02-07 00:00:00",7,1,4,0,4,18.714285714285715,
"2019-02-08 00:00:00",14,1,2,0,4,17.714285714285715,
"2019-02-09 00:00:00",8,2,4,0,6,18.142857142857142,
"2019-02-10 00:00:00",11,2,4,0,7,19.857142857142858,
"2019-02-11 00:00:00",18,4,4,0,3,21,
"2019-02-12 00:00:00",11,1,4,0,4,20.857142857142858,
"2019-02-13 00:00:00",13,1,7,0,3,22,
"2019-02-14 00:00:00",8,0,8,1,4,22.714285714285715,
"2019-02-15 00:00:00",16,2,5,1,6,24,
"2019-02-16 00:00:00",10,0,6,0,4,24,
"2019-02-17 00:00:00",12,0,4,0,4,23.428571428571427,
"2019-02-18 00:00:00",20,3,0,0,4,23.142857142857142,
"2019-02-19 00:00:00",14,2,6,0,6,24.285714285714285,
"2019-02-20 00:00:00",11,1,4,0,3,23.571428571428573,
"2019-02-21 00:00:00",7,2,3,1,5,23.142857142857142,
"2019-02-22 00:00:00",13,0,6,0,9,22.857142857142858,
"2019-02-23 00:00:00",10,1,3,0,5,22.714285714285715,
"2019-02-24 00:00:00",9,2,2,0,5,22.428571428571427,
"2019-02-25 00:00:00",14,1,6,0,4,22.142857142857142,
"2019-02-26 00:00:00",8,2,1,1,5,20.571428571428573,
"2019-02-27 00:00:00",12,1,5,1,5,21.285714285714285,
"2019-02-28 00:00:00",10,2,3,0,4,21.428571428571427,
"2019-03-01 00:00:00",8,2,4,2,3,20.142857142857142,
"2019-03-02 00:00:00",9,0,6,0,6,20.428571428571427,
"2019-03-03 00:00:00",14,0,6,0,6,21.571428571428573,
"2019-03-04 00:00:00",13,1,5,0,5,21.428571428571427,
"2019-03-05 00:00:00",11,2,2,0,3,21.571428571428573,
"2019-03-06 00:00:00",9,0,7,0,4,21,
"2019-03-07 00:00:00",12,1,3,2,6,21.714285714285715,
"2019-03-08 00:00:00",11,1,2,0,1,21.142857142857142,
"2019-03-09 00:00:00",10,2,2,1,6,21.142857142857142,
"2019-03-10 00:00:00",14,0,5,0,5,20.857142857142858,
"2019-03-11 00:00:00",16,0,4,0,6,21.142857142857142,
"2019-03-12 00:00:00",7,1,2,2,5,21,
"2019-03-13 00:00:00",7,0,9,0,6,21.285714285714285,
"2019-03-14 00:00:00",6,1,3,0,6,20.142857142857142,
"2019-03-15 00:00:00",11,1,3,0,9,21.428571428571427,
"2019-03-16 00:00:00",12,0,3,0,4,21.142857142857142,
"2019-03-17 00:00:00",14,2,0,0,5,20.714285714285715,
"2019-03-18 00:00:00",13,0,3,1,3,19.857142857142858,
"2019-03-19 00:00:00",12,2,3,0,3,20.285714285714285,
