"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",50680,46038,0,0,0,,
"2019-01-02 00:00:00",153754,85590,464,0,123293,,
"2019-01-03 00:00:00",131304,52109,0,0,1612,,
"2019-01-04 00:00:00",100222,46683,1752,0,146584,,
"2019-01-05 00:00:00",68248,82080,0,0,21300,,
"2019-01-06 00:00:00",320499,14257,0,0,2711,,
"2019-01-07 00:00:00",32949,73206,1066,0,90263,235238.85714285713,
"2019-01-08 00:00:00",70991,27791,0,0,149306,256863.42857142858,
"2019-01-09 00:00:00",4650,0,0,0,7358,206707.14285714287,
"2019-01-10 00:00:00",76887,0,2447,0,133431,210670,
"2019-01-11 00:00:00",144992,56343,1066,0,466,197473.7142857143,
"2019-01-12 00:00:00",79230,10517,1155,0,62988,194939.7142857143,
"2019-01-13 00:00:00",155368,0,0,0,0,168925.42857142858,
"2019-01-14 00:00:00",68903,29010,1916,172,0,154999.2857142857,
"2019-01-15 00:00:00",104730,41741,1066,0,173537,165426,
"2019-01-16 00:00:00",74642,46403,0,0,3132,181450.14285714287,
"2019-01-17 00:00:00",66136,72724,0,172,193946,198623.42857142858,
"2019-01-18 00:00:00",134399,54321,1654,0,13492,198765.85714285713,
"2019-01-19 00:00:00",4068,26705,1916,0,55970,189447.14285714287,
"2019-01-20 00:00:00",78784,104068,0,0,0,193373.42857142858,
"2019-01-21 00:00:00",0,62554,0,0,59204,196481.57142857142,
"2019-01-22 00:00:00",74855,13052,5306,0,78997,175215,
"2019-01-23 00:00:00",25692,36508,0,0,140525,186436.14285714287,
"2019-01-24 00:00:00",89065,66416,1916,0,33277,166106.85714285713,
"2019-01-25 00:00:00",63369,50075,0,0,72341,163524,
"2019-01-26 00:00:00",57705,15719,0,0,0,161347.42857142858,
"2019-01-27 00:00:00",223043,0,0,0,131719,185906.14285714287,
"2019-01-28 00:00:00",0,0,0,0,0,168512,
"2019-01-29 00:00:00",39380,163884,0,0,0,172948.14285714287,
"2019-01-30 00:00:00",46839,0,0,0,48695,157635,
"2019-01-31 00:00:00",201006,105962,1066,0,2169,174710.85714285713,
"2019-02-01 00:00:00",89550,51717,1916,193,110003,184367.14285714287,
"2019-02-02 00:00:00",24159,64515,1245,0,38827,192270.42857142858,
"2019-02-03 00:00:00",112147,0,2428,0,98234,171991.57142857142,
"2019-02-04 00:00:00",0,69583,3833,0,0,182479.7142857143,
"2019-02-05 00:00:00",88867,56898,0,172,138156,194027,
"2019-02-06 00:00:00",98726,168936,0,0,0,218616.85714285713,
"2019-02-07 00:00:00",246166,13754,0,0,33778,216258.7142857143,
"2019-02-08 00:00:00",130466,909,3234,0,155773,221544.85714285713,
"2019-02-09 00:00:00",72477,0,1916,2928,18500,216841.42857142858,
