"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",2,6,1,0,1,,
"2019-01-02 00:00:00",7,5,5,0,4,,
"2019-01-03 00:00:00",3,3,2,0,1,,
"2019-01-04 00:00:00",4,5,1,0,6,,
"2019-01-05 00:00:00",5,2,2,0,5,,
"2019-01-06 00:00:00",6,3,3,0,3,,
"2019-01-07 00:00:00",4,2,3,0,5,14.142857142857142,
"2019-01-08 00:00:00",4,2,2,1,5,14.714285714285714,
"2019-01-09 00:00:00",3,2,4,0,2,13.285714285714286,
"2019-01-10 00:00:00",4,0,5,0,5,14,
"2019-01-11 00:00:00",6,2,3,1,1,13.571428571428571,
"2019-01-12 00:00:00",4,1,2,1,4,13.285714285714286,
"2019-01-13 00:00:00",4,1,2,0,1,12.285714285714286,
"2019-01-14 00:00:00",4,3,3,1,1,12,
"2019-01-15 00:00:00",5,3,7,0,7,13.142857142857142,
"2019-01-16 00:00:00",2,1,2,0,1,12.428571428571429,
"2019-01-17 00:00:00",4,3,1,1,6,12.571428571428571,
"2019-01-18 00:00:00",3,3,4,0,3,12.571428571428571,
"2019-01-19 00:00:00",2,1,4,0,3,12.285714285714286,
"2019-01-20 00:00:00",3,4,3,1,1,12.857142857142858,
"2019-01-21 00:00:00",2,3,3,0,5,13,
"2019-01-22 00:00:00",3,2,8,0,5,12.428571428571429,
"2019-01-23 00:00:00",4,4,3,0,6,14,
"2019-01-24 00:00:00",4,4,5,0,3,14.142857142857142,
"2019-01-25 00:00:00",5,1,0,0,3,13.571428571428571,
"2019-01-26 00:00:00",3,4,3,0,1,13.714285714285714,
"2019-01-27 00:00:00",4,0,3,0,6,13.857142857142858,
"2019-01-28 00:00:00",2,1,2,1,0,12.857142857142858,
"2019-01-29 00:00:00",3,5,2,0,1,11.857142857142858,
"2019-01-30 00:00:00",3,3,3,3,4,11.714285714285714,
"2019-01-31 00:00:00",7,2,3,0,3,11.571428571428571,
"2019-02-01 00:00:00",5,5,5,2,5,13.428571428571429,
"2019-02-02 00:00:00",2,4,5,0,3,13.857142857142858,
"2019-02-03 00:00:00",5,1,10,0,5,15,
"2019-02-04 00:00:00",3,3,8,0,3,16.571428571428573,
"2019-02-05 00:00:00",2,3,1,1,2,16.285714285714285,
"2019-02-06 00:00:00",5,7,6,0,1,16.714285714285715,
"2019-02-07 00:00:00",7,1,4,0,1,16.428571428571427,
"2019-02-08 00:00:00",3,2,3,1,4,15.142857142857142,
"2019-02-09 00:00:00",5,0,3,1,5,15.142857142857142,
"2019-02-10 00:00:00",4,2,8,0,4,14.714285714285714,
"2019-02-11 00:00:00",4,3,6,1,5,15,
"2019-02-12 00:00:00",5,3,2,0,7,16.142857142857142,
"2019-02-13 00:00:00",3,3,5,0,4,15.571428571428571,
"2019-02-14 00:00:00",5,3,2,0,4,15.714285714285714,
"2019-02-15 00:00:00",5,1,3,0,4,15.714285714285714,
"2019-02-16 00:00:00",4,0,7,0,3,15.714285714285714,
"2019-02-17 00:00:00",5,6,1,1,10,16.428571428571427,
"2019-02-18 00:00:00",2,3,4,1,5,15.857142857142858,
"2019-02-19 00:00:00",4,1,6,0,4,15.571428571428571,
"2019-02-20 00:00:00",4,6,0,0,5,15.571428571428571,
"2019-02-21 00:00:00",3,1,5,0,4,15.428571428571429,
"2019-02-22 00:00:00",6,3,1,1,3,15.571428571428571,
"2019-02-23 00:00:00",4,1,1,0,5,15.142857142857142,
"2019-02-24 00:00:00",4,4,3,1,4,14.142857142857142,
"2019-02-25 00:00:00",5,8,3,0,5,15,
"2019-02-26 00:00:00",2,3,3,0,5,14.714285714285714,
"2019-02-27 00:00:00",4,2,2,2,4,14.571428571428571,
"2019-02-28 00:00:00",5,2,4,1,7,15.428571428571429,
"2019-03-01 00:00:00",5,4,11,0,4,16.857142857142858,
"2019-03-02 00:00:00",3,3,4,0,3,17.142857142857142,
"2019-03-03 00:00:00",1,3,1,0,2,15.857142857142858,
"2019-03-04 00:00:00",4,3,3,0,6,15.142857142857142,
"2019-03-05 00:00:00",3,4,4,0,6,15.714285714285714,
"2019-03-06 00:00:00",4,1,4,0,4,15.571428571428571,
"2019-03-07 00:00:00",3,3,4,0,3,14.714285714285714,
"2019-03-08 00:00:00",2,4,5,0,3,13.285714285714286,
"2019-03-09 00:00:00",5,3,1,0,1,12.857142857142858,
"2019-03-10 00:00:00",3,3,5,1,3,14,
"2019-03-11 00:00:00",5,2,4,0,7,14.285714285714286,
"2019-03-12 00:00:00",3,5,5,0,5,14.428571428571429,
"2019-03-13 00:00:00",4,0,4,0,3,14.142857142857142,
"2019-03-14 00:00:00",5,5,4,1,6,15.285714285714286,
"2019-03-15 00:00:00",4,2,10,0,3,16,
"2019-03-16 00:00:00",7,3,2,0,3,16.714285714285715,
"2019-03-17 00:00:00",4,4,4,0,2,16.571428571428573,
"2019-03-18 00:00:00",3,2,4,0,3,15.714285714285714,
"2019-03-19 00:00:00",4,4,5,1,5,15.857142857142858,
"2019-03-20 00:00:00",3,5,7,1,6,17.428571428571427,
"2019-03-21 00:00:00",4,3,3,0,5,16.571428571428573,
"2019-03-22 00:00:00",5,2,5,0,2,15.857142857142858,
"2019-03-23 00:00:00",5,3,1,0,5,15.714285714285714,
"2019-03-24 00:00:00",1,3,4,0,1,15,
"2019-03-25 00:00:00",4,7,9,1,8,17.428571428571427,
"2019-03-26 00:00:00",4,3,3,0,4,16.714285714285715,
"2019-03-27 00:00:00",5,4,7,0,6,16.714285714285715,
"2019-03-28 00:00:00",5,3,1,0,3,16.285714285714285,
"2019-03-29 00:00:00",9,1,1,1,5,16.714285714285715,
"2019-03-30 00:00:00",3,1,1,2,2,16,
"2019-03-31 00:00:00",5,5,6,1,6,18,
"2019-04-01 00:00:00",3,3,7,1,3,16.285714285714285,
"2019-04-02 00:00:00",4,2,2,0,6,16.285714285714285,
"2019-04-03 00:00:00",4,4,2,0,3,15,
"2019-04-04 00:00:00",5,2,7,0,2,15.571428571428571,
"2019-04-05 00:00:00",6,2,8,0,6,16.285714285714285,
"2019-04-06 00:00:00",7,4,7,0,2,17.857142857142858,
"2019-04-07 00:00:00",2,2,4,0,5,16.428571428571427,
"2019-04-08 00:00:00",2,5,6,1,2,16.285714285714285,
"2019-04-09 00:00:00",5,0,5,0,4,16.285714285714285,
"2019-04-10 00:00:00",6,1,1,0,3,16,
"2019-04-11 00:00:00",3,4,6,0,5,16.285714285714285,
"2019-04-12 00:00:00",4,1,7,0,4,15.428571428571429,
"2019-04-13 00:00:00",3,2,3,0,4,14.285714285714286,
"2019-04-14 00:00:00",6,5,5,0,4,15.285714285714286,
"2019-04-15 00:00:00",5,2,4,0,1,14.714285714285714,
"2019-04-16 00:00:00",1,2,3,0,3,14,
"2019-04-17 00:00:00",3,2,2,0,5,14.142857142857142,
"2019-04-18 00:00:00",4,3,4,0,1,13.285714285714286,
"2019-04-19 00:00:00",3,3,4,0,4,13,
"2019-04-20 00:00:00",6,0,3,0,3,13,
"2019-04-21 00:00:00",3,3,5,0,2,12,
"2019-04-22 00:00:00",4,2,7,0,5,12.857142857142858,
"2019-04-23 00:00:00",4,0,2,1,2,12.857142857142858,
"2019-04-24 00:00:00",5,0,8,1,7,14.142857142857142,
"2019-04-25 00:00:00",6,4,4,0,4,15,
"2019-04-26 00:00:00",4,5,4,0,7,15.857142857142858,
"2019-04-27 00:00:00",6,2,4,0,4,16.428571428571427,
"2019-04-28 00:00:00",5,1,2,0,1,15.857142857142858,
"2019-04-29 00:00:00",4,4,4,3,4,16,
"2019-04-30 00:00:00",0,1,2,0,3,15.571428571428571,
"2019-05-01 00:00:00",4,1,2,1,6,14.571428571428571,
"2019-05-02 00:00:00",3,2,3,1,1,13.428571428571429,
"2019-05-03 00:00:00",3,0,3,0,1,11.571428571428571,
"2019-05-04 00:00:00",3,2,3,0,3,10.857142857142858,
"2019-05-05 00:00:00",3,2,1,0,1,10.571428571428571,
"2019-05-06 00:00:00",3,3,6,0,7,10.571428571428571,
"2019-05-07 00:00:00",6,5,3,0,3,12.142857142857142,
"2019-05-08 00:00:00",5,4,3,0,3,12.285714285714286,
"2019-05-09 00:00:00",7,4,5,1,8,14.428571428571429,
"2019-05-10 00:00:00",5,3,4,0,2,15.428571428571429,
"2019-05-11 00:00:00",5,3,1,1,1,15.428571428571429,
"2019-05-12 00:00:00",3,3,4,1,4,16.571428571428573,
