"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",220971,0,10859,0,446909,,
"2019-01-02 00:00:00",294914,0,20621,403,362055,,
"2019-01-03 00:00:00",259722,29763,3233,2205,647089,,
"2019-01-04 00:00:00",161496,84292,5515,2091,267856,,
"2019-01-05 00:00:00",135472,258645,4618,4057,984410,,
"2019-01-06 00:00:00",58827,55214,5981,0,355214,,
"2019-01-07 00:00:00",246433,178481,20688,2159,287403,773944.2857142857,
"2019-01-08 00:00:00",44660,131945,2469,667,502716,774475.4285714285,
"2019-01-09 00:00:00",261774,232588,9575,2364,328636,796895.8571428572,
"2019-01-10 00:00:00",359916,44650,12857,2083,758378,830591.8571428572,
"2019-01-11 00:00:00",161155,142497,18802,5781,301559,846098.1428571428,
"2019-01-12 00:00:00",40865,82823,18462,3393,417786,728402.1428571428,
"2019-01-13 00:00:00",114079,71480,30482,5020,247044,727383.4285714285,
"2019-01-14 00:00:00",176494,32159,17464,4612,909832,785297.2857142857,
"2019-01-15 00:00:00",253109,313719,4837,1256,261042,806941.1428571428,
"2019-01-16 00:00:00",127573,97181,15820,4915,531080,798602.8571428572,
"2019-01-17 00:00:00",171561,407621,9915,1343,177299,740010.7142857143,
"2019-01-18 00:00:00",82634,31972,9659,4649,528586,743968.7142857143,
"2019-01-19 00:00:00",122984,204013,3048,386,568033,791844.8571428572,
"2019-01-20 00:00:00",108754,102700,14343,2202,322135,803563.2857142857,
"2019-01-21 00:00:00",130361,0,26390,4500,422965,724085.4285714285,
"2019-01-22 00:00:00",100950,198063,30964,3097,198908,680945.4285714285,
"2019-01-23 00:00:00",170891,43158,13167,6078,549478,681831.4285714285,
"2019-01-24 00:00:00",141855,270043,6983,579,203782,661189,
"2019-01-25 00:00:00",147650,255114,9546,4158,848076,747909.5714285715,
"2019-01-26 00:00:00",268415,306322,8285,4061,262368,740907.8571428572,
"2019-01-27 00:00:00",30567,27452,12840,1807,651843,765818.5714285715,
"2019-01-28 00:00:00",128478,328203,19432,4386,279716,790961.2857142857,
"2019-01-29 00:00:00",228813,113392,8747,2814,668188,860957.1428571428,
"2019-01-30 00:00:00",210998,122562,12079,7691,448864,863731.7142857143,
"2019-01-31 00:00:00",272314,120085,17482,3063,439226,896435.7142857143,
"2019-02-01 00:00:00",265911,318767,3673,7918,599473,886606.8571428572,
"2019-02-02 00:00:00",165019,154852,6110,596,509104,884639.7142857143,
"2019-02-03 00:00:00",71496,42819,15485,634,197558,827994.4285714285,
"2019-02-04 00:00:00",192117,127492,11062,3282,65538,776462.5714285715,
"2019-02-05 00:00:00",330419,37847,18477,4823,851465,808045,
"2019-02-06 00:00:00",90661,201606,12714,2470,160329,760271.8571428572,
"2019-02-07 00:00:00",344415,232965,36259,5596,954063,863290.2857142857,
"2019-02-08 00:00:00",102757,35679,13561,2228,570761,796039.4285714285,
"2019-02-09 00:00:00",203585,0,6430,3795,851348,828822,
"2019-02-10 00:00:00",47979,225068,8226,5619,433849,884929.1428571428,
"2019-02-11 00:00:00",272493,0,13910,3010,320319,914963.2857142857,
"2019-02-12 00:00:00",305471,374485,10980,386,521473,910643.8571428572,
"2019-02-13 00:00:00",67989,79132,22078,7434,341332,917813,
"2019-02-14 00:00:00",495459,188714,15443,3679,516708,867342.1428571428,
"2019-02-15 00:00:00",54951,144540,8292,3689,553627,873072.5714285715,
"2019-02-16 00:00:00",109225,76051,5354,2805,292832,790373.8571428572,
"2019-02-17 00:00:00",124893,337694,13372,1254,258655,792534.8571428572,
"2019-02-18 00:00:00",160731,148339,10512,2987,197745,779761,
"2019-02-19 00:00:00",161820,119927,5295,1931,900990,776499.4285714285,
"2019-02-20 00:00:00",86666,242378,13594,3438,293465,793867.4285714285,
"2019-02-21 00:00:00",281936,113153,16214,1269,339723,727052,
"2019-02-22 00:00:00",147700,229527,3524,2045,885828,798984,
"2019-02-23 00:00:00",246666,0,3896,193,647640,857859.1428571428,
"2019-02-24 00:00:00",65433,73856,9026,3307,469487,841465,
"2019-02-25 00:00:00",305618,257008,14714,750,253473,885929.2857142857,
"2019-02-26 00:00:00",108592,117748,16436,4731,592346,835913.4285714285,
"2019-02-27 00:00:00",120842,280502,29197,773,380630,860542.2857142857,
"2019-02-28 00:00:00",303840,240248,12761,3910,414490,892393,
"2019-03-01 00:00:00",105502,226140,10427,2470,749910,867511,
"2019-03-02 00:00:00",142786,0,19697,2015,403492,820310.2857142857,
"2019-03-03 00:00:00",79237,34166,13531,1474,287547,791002.5714285715,
"2019-03-04 00:00:00",140456,211142,9498,5687,616898,812733.5714285715,
"2019-03-05 00:00:00",267154,85294,12572,3695,414386,804626.2857142857,
"2019-03-06 00:00:00",198201,76183,6235,5203,298991,772179.1428571428,
"2019-03-07 00:00:00",147365,149041,8748,3914,791702,790110.4285714285,
"2019-03-08 00:00:00",220679,279673,7050,2539,353584,757121.2857142857,
"2019-03-09 00:00:00",88326,313298,9626,773,447490,798767.5714285715,
"2019-03-10 00:00:00",18457,0,11102,5952,346909,793976.7142857143,
"2019-03-11 00:00:00",272505,60986,16300,2618,606992,790508.1428571428,
"2019-03-12 00:00:00",106920,140659,16673,1816,408878,775057.1428571428,
"2019-03-13 00:00:00",86523,182244,8348,4954,292679,773619.2857142857,
"2019-03-14 00:00:00",191841,214664,20762,4035,781671,789648.2857142857,
"2019-03-15 00:00:00",316732,0,13279,3224,807329,829225.4285714285,
"2019-03-16 00:00:00",129295,113066,7108,2035,268653,780746,
"2019-03-17 00:00:00",244208,108400,20399,4791,169409,804287.2857142857,
"2019-03-18 00:00:00",105618,13499,20331,4770,639808,779233.7142857143,
"2019-03-19 00:00:00",239076,204111,22451,1648,552788,828538,
