"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",122786,0,9815,2058,57896,,
"2019-01-02 00:00:00",46315,0,9381,0,57845,,
"2019-01-03 00:00:00",159094,0,7895,5514,92425,,
"2019-01-04 00:00:00",142987,0,5983,1190,125838,,
"2019-01-05 00:00:00",179744,0,1092,3571,158629,,
"2019-01-06 00:00:00",157174,1217,3210,2171,148541,,
"2019-01-07 00:00:00",74332,0,7718,4323,428146,288128.85714285716,
"2019-01-08 00:00:00",98008,0,6565,6239,97449,290372.5714285714,
"2019-01-09 00:00:00",109477,0,6117,1190,120949,308114.4285714286,
"2019-01-10 00:00:00",247120,0,7280,4471,150906,328807.14285714284,
"2019-01-11 00:00:00",182926,0,9056,3571,118681,334269.4285714286,
"2019-01-12 00:00:00",219945,0,7792,2381,101164,332590.14285714284,
"2019-01-13 00:00:00",67708,38745,6624,3552,82189,316376.5714285714,
"2019-01-14 00:00:00",146076,0,5615,1830,100598,279176.4285714286,
"2019-01-15 00:00:00",88617,0,12935,2381,205496,293629.14285714284,
"2019-01-16 00:00:00",177787,1217,10801,4762,93338,300796.5714285714,
"2019-01-17 00:00:00",66969,0,19636,8960,328349,302816.14285714284,
"2019-01-18 00:00:00",316202,0,7098,5660,147266,325957.71428571426,
"2019-01-19 00:00:00",230586,0,9848,2381,70665,323414.5714285714,
"2019-01-20 00:00:00",128027,0,13567,3914,230694,348755.14285714284,
"2019-01-21 00:00:00",238037,0,16492,2381,140707,369254.85714285716,
"2019-01-22 00:00:00",120948,0,5305,1895,168304,367401,
"2019-01-23 00:00:00",61932,0,9731,6910,343846,386617.28571428574,
"2019-01-24 00:00:00",167305,0,11381,8410,130567,371438.4285714286,
"2019-01-25 00:00:00",213666,57517,11160,4762,107242,359741.71428571426,
"2019-01-26 00:00:00",202299,0,8565,3975,156542,368013.28571428574,
"2019-01-27 00:00:00",315660,15983,2291,2492,79861,373739.71428571426,
