"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",286541,434304,10963,828,36002,,
"2019-01-02 00:00:00",556026,406318,34474,828,74684,,
"2019-01-03 00:00:00",327128,586230,21562,414,45818,,
"2019-01-04 00:00:00",141047,314496,18427,1242,86547,,
"2019-01-05 00:00:00",471433,438383,18510,828,127004,,
"2019-01-06 00:00:00",308486,323493,8647,1847,76919,,
"2019-01-07 00:00:00",446517,374231,17081,1756,118859,873983.8571428572,
"2019-01-08 00:00:00",239768,671779,25924,1997,167593,922330,
"2019-01-09 00:00:00",198675,375700,4489,1805,62538,861027,
"2019-01-10 00:00:00",122947,479499,13897,414,28038,812976,
"2019-01-11 00:00:00",405846,584250,18718,2286,114548,893531.5714285715,
"2019-01-12 00:00:00",422284,364126,11432,2151,50605,864165.8571428572,
"2019-01-13 00:00:00",483791,394201,10472,0,41401,894233.2857142857,
"2019-01-14 00:00:00",398797,691515,48302,828,91668,933185.5714285715,
"2019-01-15 00:00:00",175179,445016,7409,1656,31402,869414.4285714285,
"2019-01-16 00:00:00",520642,342421,13762,1896,41131,908934.7142857143,
"2019-01-17 00:00:00",210496,319018,15322,2560,75108,905750.2857142857,
"2019-01-18 00:00:00",134961,378590,10337,828,64166,829069.2857142857,
"2019-01-19 00:00:00",253275,341337,11775,1242,78027,805506,
"2019-01-20 00:00:00",381890,312002,26728,828,58516,784091.5714285715,
"2019-01-21 00:00:00",423182,339600,16767,1242,48188,726644.1428571428,
"2019-01-22 00:00:00",404786,434166,28720,1242,114684,772777.7142857143,
"2019-01-23 00:00:00",218402,454979,17847,5797,72570,751312.7142857143,
"2019-01-24 00:00:00",247825,212112,2874,414,35917,733689.5714285715,
"2019-01-25 00:00:00",576699,433092,17655,1749,104739,811554.4285714285,
"2019-01-26 00:00:00",313394,159176,46563,414,25457,791461.2857142857,
"2019-01-27 00:00:00",256442,508379,11943,828,104598,806065,
"2019-01-28 00:00:00",393328,398861,22938,1276,64885,813537.8571428572,
"2019-01-29 00:00:00",446541,524667,3710,828,131265,831168.2857142857,
"2019-01-30 00:00:00",146910,221596,2874,1824,35309,779585,
"2019-01-31 00:00:00",142998,138520,18267,0,35972,756244.1428571428,
"2019-02-01 00:00:00",182181,386268,22033,3396,110822,694925.1428571428,
"2019-02-02 00:00:00",156965,362425,35247,2246,56111,704638.1428571428,
"2019-02-03 00:00:00",204911,234232,4101,4710,121812,660006.1428571428,
"2019-02-04 00:00:00",127303,346411,7655,2472,20716,606187.5714285715,
"2019-02-05 00:00:00",116916,409936,16303,828,83320,537657.8571428572,
"2019-02-06 00:00:00",310757,272179,10917,3464,61457,573409.4285714285,
"2019-02-07 00:00:00",68656,210194,9156,828,86053,578999.4285714285,
"2019-02-08 00:00:00",221781,478656,1776,0,36843,583907,
"2019-02-09 00:00:00",497942,204174,14047,0,39100,604231.1428571428,
"2019-02-10 00:00:00",182854,507693,8032,1479,29718,627089.7142857143,
"2019-02-11 00:00:00",396907,297207,17098,2790,115948,673574.4285714285,
"2019-02-12 00:00:00",376441,497469,18023,414,63634,720528.5714285715,
"2019-02-13 00:00:00",347912,377856,10056,414,167642,755543.7142857143,
"2019-02-14 00:00:00",266254,656714,19021,1923,67151,846426,
"2019-02-15 00:00:00",248064,312176,11391,2979,84704,835034.4285714285,
"2019-02-16 00:00:00",543221,179007,11397,8333,72515,843493.1428571428,
"2019-02-17 00:00:00",157900,393565,22648,2172,40602,827366.1428571428,
"2019-02-18 00:00:00",309822,434159,15339,3258,103019,832458.4285714285,
"2019-02-19 00:00:00",370813,306151,13570,828,61458,803435.2857142857,
"2019-02-20 00:00:00",237782,678038,38325,414,201358,839440.4285714285,
"2019-02-21 00:00:00",379629,399636,27982,414,42292,816424.7142857143,
"2019-02-22 00:00:00",153661,241677,12803,1242,103351,795484.7142857143,
"2019-02-23 00:00:00",430680,362550,27688,1656,98068,810651.5714285715,
"2019-02-24 00:00:00",198754,265931,15244,448,24243,794613.4285714285,
"2019-02-25 00:00:00",162519,116809,11538,2376,43630,719081.1428571428,
"2019-02-26 00:00:00",181324,524287,56672,1619,89032,733383.2857142857,
"2019-02-27 00:00:00",360806,373578,9607,1896,132900,693793.4285714285,
"2019-02-28 00:00:00",637617,274301,15139,4189,24852,708957,
"2019-03-01 00:00:00",270766,283346,24580,1375,25032,722151.8571428572,
"2019-03-02 00:00:00",166454,615503,28557,3015,69396,716763.7142857143,
"2019-03-03 00:00:00",296238,251320,10060,414,80703,735923,
"2019-03-04 00:00:00",165278,299479,10727,2499,65819,765484.5714285715,
"2019-03-05 00:00:00",183917,190353,21937,862,27542,704295.4285714285,
"2019-03-06 00:00:00",313367,478575,25956,414,23110,698957.4285714285,
"2019-03-07 00:00:00",436947,778965,20559,2790,36921,744683.8571428572,
"2019-03-08 00:00:00",235678,348051,8828,828,92921,756285,
"2019-03-09 00:00:00",19355,124247,8396,862,14822,654107.4285714285,
"2019-03-10 00:00:00",255973,610487,21543,2601,29681,694328.8571428572,
"2019-03-11 00:00:00",459616,388884,19464,2376,9984,742403.2857142857,
"2019-03-12 00:00:00",445406,435971,6790,5387,161394,832451.7142857143,
"2019-03-13 00:00:00",665882,304096,7950,0,62265,860847.5714285715,
"2019-03-14 00:00:00",176359,563268,31435,5489,46797,796156.8571428572,
"2019-03-15 00:00:00",317701,628945,17308,4475,79116,847762.4285714285,
"2019-03-16 00:00:00",126428,435791,33666,2295,65084,918559.8571428572,
"2019-03-17 00:00:00",359123,599929,8534,414,98834,939495.2857142857,
"2019-03-18 00:00:00",514556,237889,27239,6642,34365,930976.4285714285,
"2019-03-19 00:00:00",360767,367220,31773,414,33281,893619.8571428572,
"2019-03-20 00:00:00",208046,296733,12876,1407,33359,823938.2857142857,
"2019-03-21 00:00:00",687130,664491,23470,828,92773,916130.2857142857,
"2019-03-22 00:00:00",207704,345086,12068,3619,18557,850343.1428571428,
"2019-03-23 00:00:00",302090,524562,23485,3594,30662,881932.8571428572,
"2019-03-24 00:00:00",143125,513715,14198,414,81064,837030.4285714285,
"2019-03-25 00:00:00",503173,547728,23648,3239,37053,879051.8571428572,
"2019-03-26 00:00:00",289615,449998,9709,828,125832,890841.7142857143,
"2019-03-27 00:00:00",301432,365321,10322,8479,63882,918986.7142857143,
"2019-03-28 00:00:00",166738,469414,34356,1242,87071,817576.7142857143,
"2019-03-29 00:00:00",306687,514025,36276,2292,11904,858169.4285714285,
"2019-03-30 00:00:00",241019,308440,21861,414,22514,816720.2857142857,
"2019-03-31 00:00:00",478135,280465,7009,828,12130,820441.8571428572,
"2019-04-01 00:00:00",411310,331002,11889,2807,23620,772697.1428571428,
"2019-04-02 00:00:00",199498,284484,19309,3519,60980,728669.7142857143,
"2019-04-03 00:00:00",280905,452389,18979,4954,26880,733622.4285714285,
"2019-04-04 00:00:00",176796,594771,21233,2376,35943,743950.7142857143,
"2019-04-05 00:00:00",162548,590794,18078,1191,41304,735769.2857142857,
"2019-04-06 00:00:00",140515,297435,11778,828,47672,722052.1428571428,
"2019-04-07 00:00:00",632498,529193,20261,2907,36710,785338.1428571428,
"2019-04-08 00:00:00",331038,285450,4792,828,64463,771901.2857142857,
"2019-04-09 00:00:00",247993,260165,23681,862,70520,776962.8571428572,
"2019-04-10 00:00:00",895352,222930,14984,4194,42653,833535.4285714285,
"2019-04-11 00:00:00",269730,665557,15009,862,47915,857528.8571428572,
"2019-04-12 00:00:00",255222,578505,9446,4279,64495,871533.5714285715,
"2019-04-13 00:00:00",223803,607771,19977,828,15154,924291.4285714285,
"2019-04-14 00:00:00",180135,294163,15876,414,33731,824684.2857142857,
"2019-04-15 00:00:00",337855,413141,19305,3381,36799,842386,
"2019-04-16 00:00:00",365103,149787,17480,2550,69239,842520,
"2019-04-17 00:00:00",227602,592901,18360,2058,89920,806909.7142857143,
"2019-04-18 00:00:00",199658,880664,28197,828,80106,834106.8571428572,
"2019-04-19 00:00:00",122978,184376,15628,4692,15067,752791.7142857143,
"2019-04-20 00:00:00",315234,582435,16239,3194,72310,770203,
"2019-04-21 00:00:00",254373,345954,15625,2111,54664,791404.1428571428,
"2019-04-22 00:00:00",219894,413958,18579,5901,56105,777683.2857142857,
"2019-04-23 00:00:00",266118,249824,4888,414,41397,771752.1428571428,
"2019-04-24 00:00:00",435992,148032,14647,6135,28699,729275.5714285715,
"2019-04-25 00:00:00",472875,793252,32283,6009,118102,762571,
"2019-04-26 00:00:00",645270,315109,24366,1375,110483,870265.5714285715,
"2019-04-27 00:00:00",332997,199008,15059,6240,46871,814660.4285714285,
"2019-04-28 00:00:00",265482,276409,13939,828,52924,805639.5714285715,
"2019-04-29 00:00:00",281438,477407,15926,3932,62263,823715.2857142857,
"2019-04-30 00:00:00",267424,431182,4565,2546,40630,849959.1428571428,
"2019-05-01 00:00:00",158326,567869,9418,2058,64628,874072.5714285715,
"2019-05-02 00:00:00",384504,729650,27421,3558,76906,845432.4285714285,
"2019-05-03 00:00:00",363000,443077,19784,2487,67244,816716.5714285715,
"2019-05-04 00:00:00",382714,462785,14445,3285,58127,862599.4285714285,
"2019-05-05 00:00:00",253002,324434,14566,4241,102756,875373.5714285715,
"2019-05-06 00:00:00",355503,774108,14034,414,77239,929706.7142857143,
"2019-05-07 00:00:00",284289,308050,16511,414,54521,917911.7142857143,
"2019-05-08 00:00:00",311328,441626,10117,1242,80593,923998.4285714285,
"2019-05-09 00:00:00",370320,456375,2198,2041,149919,889543,
"2019-05-10 00:00:00",81776,320423,8669,1154,59805,829005.1428571428,
"2019-05-11 00:00:00",29769,486160,7843,828,30822,776728.8571428572,
"2019-05-12 00:00:00",451952,400424,3760,8151,106468,815551,
"2019-05-13 00:00:00",175457,424923,6063,4801,23664,731781,
"2019-05-14 00:00:00",356530,298303,37534,725,56446,744031.8571428572,
"2019-05-15 00:00:00",244143,451502,25243,862,34383,731350.1428571428,
"2019-05-16 00:00:00",63104,383195,15502,828,40039,663038.2857142857,
"2019-05-17 00:00:00",0,24861,2014,606,1614,599790.8571428572,
"2019-05-18 00:00:00",184094,997338,34467,3469,51795,702039.5714285715,
"2019-05-19 00:00:00",474715,437528,32056,5571,85080,711210.1428571428,
"2019-05-20 00:00:00",455550,293639,5104,2014,54870,736391.4285714285,
"2019-05-21 00:00:00",490304,579489,20171,2468,56707,793477.1428571428,
"2019-05-22 00:00:00",486319,273334,23104,5576,95983,811788.8571428572,
"2019-05-23 00:00:00",318796,347594,21989,414,141552,858599.7142857143,
"2019-05-24 00:00:00",122412,507764,21577,3271,30041,952309.7142857143,
"2019-05-25 00:00:00",293427,487632,12715,5107,20901,887826.8571428572,
"2019-05-26 00:00:00",111998,160059,13246,414,9377,782133.2857142857,
"2019-05-27 00:00:00",169850,329815,15467,3340,69387,750230.5714285715,
"2019-05-28 00:00:00",635783,567375,20026,5045,129483,780026.5714285715,
"2019-05-29 00:00:00",284281,565554,5221,828,66213,785423.8571428572,
"2019-05-30 00:00:00",171699,375131,3470,414,27157,749356.1428571428,
"2019-05-31 00:00:00",183790,455046,23463,2680,60324,755104.4285714285,
"2019-06-01 00:00:00",456622,566244,15405,1276,158856,809193,
"2019-06-02 00:00:00",605360,464873,29259,1434,75226,935058.7142857143,
"2019-06-03 00:00:00",253519,704565,26060,1242,44740,998239.8571428572,
"2019-06-04 00:00:00",332663,387628,9241,1656,83267,920631.7142857143,
"2019-06-05 00:00:00",237174,414507,13251,754,100942,898422,
"2019-06-06 00:00:00",129664,205728,11153,0,57942,873652.7142857143,
"2019-06-07 00:00:00",275275,568529,50141,5284,66852,908049.5714285715,
"2019-06-08 00:00:00",390362,594024,31565,2614,63332,891405.8571428572,
"2019-06-09 00:00:00",189396,532881,21399,414,57195,837852.8571428572,
"2019-06-10 00:00:00",225865,532757,17982,3665,79419,813504.5714285715,
"2019-06-11 00:00:00",284396,539734,31354,6180,94406,833735.4285714285,
"2019-06-12 00:00:00",370747,372708,16419,828,163687,856272.5714285715,
"2019-06-13 00:00:00",276748,418258,21054,2122,153797,923057.2857142857,
"2019-06-14 00:00:00",157922,503095,4275,2482,58946,888862.8571428572,
"2019-06-15 00:00:00",177247,221451,33268,5000,45258,803195.4285714285,
"2019-06-16 00:00:00",433665,399381,43680,2886,43623,820617.1428571428,
"2019-06-17 00:00:00",268836,500576,10602,2581,28431,813665.5714285715,
"2019-06-18 00:00:00",203909,405981,17351,7205,58816,776121.5714285715,
"2019-06-19 00:00:00",472343,207615,13542,828,41929,749245.4285714285,
"2019-06-20 00:00:00",268712,586122,15803,448,70635,759208.5714285715,
"2019-06-21 00:00:00",825986,465441,19211,8106,53225,851387.1428571428,
"2019-06-22 00:00:00",193806,407881,12461,414,56188,878319.1428571428,
"2019-06-23 00:00:00",137238,583339,30263,1656,66830,863475,
"2019-06-24 00:00:00",167087,716246,29070,4834,91135,891667.1428571428,
"2019-06-25 00:00:00",329418,287697,13493,3692,101373,897726,
"2019-06-26 00:00:00",560272,129424,14449,414,116435,909831.4285714285,
"2019-06-27 00:00:00",420780,434183,32487,1242,74330,912874.2857142857,
"2019-06-28 00:00:00",89752,359136,3203,414,77908,792651.8571428572,
"2019-06-29 00:00:00",255090,314788,14020,2639,36445,785828,
"2019-06-30 00:00:00",443430,433409,13425,2078,50923,803533.5714285715,
