"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",162362,125751,23603,2869,51531,,
"2019-01-02 00:00:00",353185,169368,6652,2869,41513,,
"2019-01-03 00:00:00",158776,261935,34600,4389,17881,,
"2019-01-04 00:00:00",320807,272523,13534,4304,52677,,
"2019-01-05 00:00:00",480063,230517,16180,4587,307009,,
"2019-01-06 00:00:00",256658,237722,7481,4304,67141,,
"2019-01-07 00:00:00",267508,261722,29850,5671,102061,622802.4285714285,
"2019-01-08 00:00:00",300670,193922,14444,1434,51829,650828.7142857143,
"2019-01-09 00:00:00",331288,460889,33728,5456,150345,709131.2857142857,
"2019-01-10 00:00:00",295612,279067,13491,1810,110831,741021.4285714285,
"2019-01-11 00:00:00",643756,132500,14819,14610,75176,772023.8571428572,
"2019-01-12 00:00:00",301594,233472,26043,4585,128539,722863.4285714285,
"2019-01-13 00:00:00",286841,306790,22388,0,29122,733125.4285714285,
"2019-01-14 00:00:00",351639,597247,20921,2869,56473,784887.8571428572,
"2019-01-15 00:00:00",381879,317440,13851,6764,33152,812143,
"2019-01-16 00:00:00",361254,265518,5632,1434,73416,772935.5714285715,
"2019-01-17 00:00:00",334237,323479,18498,0,47469,776202.8571428572,
"2019-01-18 00:00:00",443680,195224,50229,2869,40717,755039.5714285715,
"2019-01-19 00:00:00",283648,294066,13334,4304,57240,749090.7142857143,
"2019-01-20 00:00:00",268329,172351,62578,2869,112988,745372.8571428572,
"2019-01-21 00:00:00",382178,333006,17866,5479,82983,715710.5714285715,
"2019-01-22 00:00:00",390354,312747,21256,4304,89834,725054.8571428572,
"2019-01-23 00:00:00",438250,359344,7112,3744,30059,743805.4285714285,
"2019-01-24 00:00:00",291901,180082,12188,1434,62218,718682.5714285715,
"2019-01-25 00:00:00",525998,328133,40125,4304,75481,753157.1428571428,
"2019-01-26 00:00:00",353261,231338,34736,1434,42134,754630.1428571428,
"2019-01-27 00:00:00",422803,351540,9076,7177,37489,784483.1428571428,
"2019-01-28 00:00:00",363804,550398,33768,6373,22220,806633.2857142857,
"2019-01-29 00:00:00",250048,148236,20639,12206,18787,753979,
"2019-01-30 00:00:00",253229,276133,10343,1999,161839,734698.2857142857,
"2019-01-31 00:00:00",498398,118208,17910,0,30306,751412.2857142857,
"2019-02-01 00:00:00",539974,324457,16128,2869,39332,744086.4285714285,
"2019-02-02 00:00:00",400220,472833,26259,1434,33120,782795.5714285715,
"2019-02-03 00:00:00",414429,389633,8629,2968,64282,790203.5714285715,
"2019-02-04 00:00:00",419032,73883,13600,2869,15571,725688,
"2019-02-05 00:00:00",209391,187434,10638,8499,21992,723979.1428571428,
"2019-02-06 00:00:00",251705,184184,18229,0,101134,702794.5714285715,
"2019-02-07 00:00:00",294840,352378,10215,2869,29918,706423,
"2019-02-08 00:00:00",218526,413246,13955,0,63827,675965,
"2019-02-09 00:00:00",147997,252680,6739,0,54982,608612.2857142857,
"2019-02-10 00:00:00",171761,218628,24062,1151,91712,555379.7142857143,
"2019-02-11 00:00:00",245869,251767,15957,4304,107053,569664.8571428572,
"2019-02-12 00:00:00",169144,374505,9875,6435,50750,594344.2857142857,
"2019-02-13 00:00:00",165690,220144,9131,4419,25852,575770.7142857143,
"2019-02-14 00:00:00",158640,66342,38569,1434,29560,519245.71428571426,
"2019-02-15 00:00:00",127818,133685,5493,0,45046,462458.4285714286,
"2019-02-16 00:00:00",214032,294519,9176,2869,104082,485641.4285714286,
"2019-02-17 00:00:00",95302,331551,19214,1434,91126,490114.85714285716,
"2019-02-18 00:00:00",146559,260069,18099,1434,90342,474622.5714285714,
"2019-02-19 00:00:00",296164,326469,15182,2869,75616,489707,
"2019-02-20 00:00:00",260185,115948,19340,3695,65933,495402,
"2019-02-21 00:00:00",188003,386740,12614,1943,31721,542041.2857142857,
"2019-02-22 00:00:00",262560,308170,26818,4304,69271,593338.4285714285,
"2019-02-23 00:00:00",328432,510883,12602,5739,59744,635155.7142857143,
"2019-02-24 00:00:00",227066,322884,26560,1999,112740,656958.5714285715,
"2019-02-25 00:00:00",143420,214116,11494,2869,38241,641763.7142857143,
"2019-02-26 00:00:00",359525,780663,53015,4304,102777,725189.8571428572,
"2019-02-27 00:00:00",268912,340024,1158,5042,104240,761515,
"2019-02-28 00:00:00",401802,293741,2273,2031,30138,777081.1428571428,
"2019-03-01 00:00:00",347353,400610,33421,2869,15276,795424.8571428572,
"2019-03-02 00:00:00",384025,342070,2627,3286,75559,779734.7142857143,
"2019-03-03 00:00:00",476964,260933,38894,4337,67807,802261.2857142857,
"2019-03-04 00:00:00",361182,347449,14885,8723,76677,859229.1428571428,
"2019-03-05 00:00:00",189580,163139,7955,3434,16864,727898.8571428572,
"2019-03-06 00:00:00",192795,180315,35902,1434,77391,694821.8571428572,
"2019-03-07 00:00:00",501098,343560,33421,8854,48664,724195.4285714285,
"2019-03-08 00:00:00",310113,160542,12386,2869,117670,696202.7142857143,
"2019-03-09 00:00:00",158288,79605,3840,3434,8650,617095.2857142857,
"2019-03-10 00:00:00",285764,454067,28546,1434,44862,612200.8571428572,
"2019-03-11 00:00:00",214118,347147,16529,4856,25316,583493.7142857143,
"2019-03-12 00:00:00",310923,244366,9617,2869,22029,613326.8571428572,
"2019-03-13 00:00:00",547465,266874,19906,4750,41411,669408,
"2019-03-14 00:00:00",423523,258345,17986,4304,26067,640069.1428571428,
"2019-03-15 00:00:00",337374,230300,13966,6295,105159,652856.8571428572,
"2019-03-16 00:00:00",362905,212579,20385,2442,43413,708272.2857142857,
"2019-03-17 00:00:00",291269,548672,5794,2560,56098,721089.4285714285,
"2019-03-18 00:00:00",492708,415965,15353,5739,32170,771656.5714285715,
"2019-03-19 00:00:00",264352,312961,8508,2549,46454,778088,
"2019-03-20 00:00:00",410217,235936,7523,421,88889,758456.4285714285,
"2019-03-21 00:00:00",290509,272503,22294,5299,98847,752631.5714285715,
"2019-03-22 00:00:00",440429,291128,12157,7269,60484,769542,
"2019-03-23 00:00:00",316033,256564,14780,2869,69768,772154.8571428572,
"2019-03-24 00:00:00",427261,241893,16983,1943,60483,749893.4285714285,
"2019-03-25 00:00:00",291364,386818,29809,6303,41630,720463.2857142857,
"2019-03-26 00:00:00",369035,263634,26687,2869,89253,737128.1428571428,
"2019-03-27 00:00:00",307304,147366,23476,3663,265398,737731.4285714285,
"2019-03-28 00:00:00",544074,183090,4442,4304,23931,747787,
"2019-03-29 00:00:00",297542,189294,9983,2943,14630,705347.8571428572,
"2019-03-30 00:00:00",318389,264551,13279,4016,19672,699618,
"2019-03-31 00:00:00",340068,522738,7400,2869,38814,722950.4285714285,
"2019-04-01 00:00:00",321094,274705,5177,2869,6510,702154.8571428572,
"2019-04-02 00:00:00",424264,187741,17642,4943,55337,693361.8571428572,
"2019-04-03 00:00:00",192967,444812,35970,2461,113367,699414.4285714285,
"2019-04-04 00:00:00",481587,115506,27384,2869,11824,682175.7142857143,
"2019-04-05 00:00:00",220665,281036,23044,5159,53353,692013.4285714285,
"2019-04-06 00:00:00",264796,571307,9017,2869,66388,734081,
"2019-04-07 00:00:00",135752,241292,8795,6457,9370,661192.1428571428,
"2019-04-08 00:00:00",61124,138373,11021,2869,34934,609473.1428571428,
"2019-04-09 00:00:00",125907,279182,40983,3434,27729,579088.5714285715,
"2019-04-10 00:00:00",162521,134139,31957,0,24640,516757.28571428574,
"2019-04-11 00:00:00",504529,30949,24875,4988,76759,517175.71428571426,
"2019-04-12 00:00:00",452094,141580,8030,5853,116904,537347.7142857143,
"2019-04-13 00:00:00",469291,107704,20903,2869,24666,496069.85714285716,
"2019-04-14 00:00:00",251462,275171,14375,2939,70096,526409.1428571428,
"2019-04-15 00:00:00",285203,175552,19237,2869,6366,560824.1428571428,
"2019-04-16 00:00:00",425719,180662,25179,2531,22327,586421.7142857143,
"2019-04-17 00:00:00",220116,334464,42264,2976,9326,622977.2857142857,
"2019-04-18 00:00:00",355458,301630,7277,2891,40062,632294.2857142857,
"2019-04-19 00:00:00",335997,253831,9581,2869,40135,620573.1428571428,
"2019-04-20 00:00:00",465180,317401,12690,5739,82122,657387.1428571428,
"2019-04-21 00:00:00",464183,241837,13966,4618,17914,675740.8571428572,
"2019-04-22 00:00:00",303780,337221,10482,1999,130105,717792.1428571428,
"2019-04-23 00:00:00",71783,197257,15828,3148,24763,668700.8571428572,
"2019-04-24 00:00:00",216793,233811,19589,1434,42266,655093.4285714285,
"2019-04-25 00:00:00",411919,385881,15295,10367,9187,672997.8571428572,
"2019-04-26 00:00:00",445874,316768,10544,8111,44212,699154.5714285715,
"2019-04-27 00:00:00",376794,201887,41681,4509,33393,667030.5714285715,
"2019-04-28 00:00:00",427653,316705,13240,8635,21463,673484.4285714285,
"2019-04-29 00:00:00",345241,91848,19031,823,37327,632153.5714285715,
"2019-04-30 00:00:00",115486,55175,15415,1434,46646,620921.7142857143,
"2019-05-01 00:00:00",313714,164483,20492,1434,17757,621491.2857142857,
"2019-05-02 00:00:00",314646,221274,25012,2836,21804,586194.4285714285,
"2019-05-03 00:00:00",378196,232243,24705,0,90576,571938.5714285715,
"2019-05-04 00:00:00",225895,274291,7305,4304,14861,553137.5714285715,
"2019-05-05 00:00:00",209813,49262,24282,7463,4657,482820.5714285714,
"2019-05-06 00:00:00",192249,320150,15402,5024,73122,498774.4285714286,
"2019-05-07 00:00:00",413076,115283,20251,8277,42615,550966.7142857143,
"2019-05-08 00:00:00",276478,389430,21070,9142,28276,580468.7142857143,
"2019-05-09 00:00:00",400817,236539,15962,0,42288,596188,
"2019-05-10 00:00:00",468475,149011,7232,1434,33235,586712.1428571428,
"2019-05-11 00:00:00",409013,147310,21942,3973,48474,601577.2857142857,
"2019-05-12 00:00:00",333572,97986,34843,7839,52802,634658.1428571428,
"2019-05-13 00:00:00",303390,303971,6648,5278,24076,640003.4285714285,
"2019-05-14 00:00:00",164635,344261,23798,590,22982,633826.8571428572,
"2019-05-15 00:00:00",322918,119356,14510,6057,52198,603918.8571428572,
