"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",271032,56739,4286,252,338232,,
"2019-01-02 00:00:00",287618,13040,3358,2984,301513,,
"2019-01-03 00:00:00",719668,0,6663,252,804011,,
"2019-01-04 00:00:00",629325,43078,26263,0,552705,,
"2019-01-05 00:00:00",640055,0,5752,252,591847,,
"2019-01-06 00:00:00",578785,47046,4201,765,827714,,
"2019-01-07 00:00:00",753950,86522,13108,774,880919,1213245.857142857,
"2019-01-08 00:00:00",314262,27542,4303,3951,680669,1264701.142857143,
"2019-01-09 00:00:00",697850,13040,3297,252,312594,1324489.857142857,
"2019-01-10 00:00:00",780961,29105,9744,0,424981,1283661,
"2019-01-11 00:00:00",691005,0,2964,0,229670,1236842,
"2019-01-12 00:00:00",432500,39688,10482,252,621473,1217768.857142857,
"2019-01-13 00:00:00",512722,13040,8750,0,583344,1169103.857142857,
"2019-01-14 00:00:00",776495,51345,8012,252,534262,1116974.142857143,
"2019-01-15 00:00:00",495416,0,4336,4387,577042,1124181.5714285714,
"2019-01-16 00:00:00",512328,44306,5390,270,627415,1147421,
"2019-01-17 00:00:00",568058,70266,17704,1390,343146,1112531.4285714286,
"2019-01-18 00:00:00",739256,38397,2892,605,1033323,1239793.4285714286,
"2019-01-19 00:00:00",234169,17106,2904,252,690854,1217063.4285714286,
"2019-01-20 00:00:00",675994,54253,5879,0,413681,1221628,
"2019-01-21 00:00:00",627500,13040,5136,522,596928,1203450.857142857,
"2019-01-22 00:00:00",777557,70286,3460,252,345503,1220004.857142857,
"2019-01-23 00:00:00",398779,0,8349,2255,471562,1175895.7142857143,
"2019-01-24 00:00:00",387213,76076,1593,1189,172523,1124185.7142857143,
"2019-01-25 00:00:00",736359,43728,0,0,778584,1087642.5714285714,
"2019-01-26 00:00:00",825870,545,3911,4086,533138,1147966.142857143,
"2019-01-27 00:00:00",552443,35494,5477,1019,444212,1132085.7142857143,
"2019-01-28 00:00:00",802772,0,11922,2519,1134452,1233305.5714285714,
"2019-01-29 00:00:00",609405,28567,6222,0,537332,1231086.5714285714,
