"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",594271,6016,8234,899,346568,,
"2019-01-02 00:00:00",603450,8947,3016,2351,463841,,
"2019-01-03 00:00:00",534879,4593,1929,899,368893,,
"2019-01-04 00:00:00",551993,3008,10820,2197,207555,,
"2019-01-05 00:00:00",506981,0,7738,10567,375797,,
"2019-01-06 00:00:00",479781,3966,3397,1411,479988,,
"2019-01-07 00:00:00",886494,7028,4016,7538,462504,994511.7142857143,
"2019-01-08 00:00:00",850648,0,7099,4885,255095,1017617.1428571428,
"2019-01-09 00:00:00",701912,12018,5361,6744,200879,995518.2857142857,
"2019-01-10 00:00:00",621964,28186,833,2316,764632,1067909.2857142857,
"2019-01-11 00:00:00",584466,2877,0,0,683120,1138607.7142857143,
"2019-01-12 00:00:00",808381,26314,8479,899,305398,1174091.7142857143,
"2019-01-13 00:00:00",773011,3008,3507,0,220868,1178641.5714285714,
"2019-01-14 00:00:00",640019,0,27553,3729,494487,1149814.142857143,
"2019-01-15 00:00:00",369599,36589,2390,3207,380927,1103383.4285714286,
"2019-01-16 00:00:00",755544,857,8882,894,247700,1115806.7142857143,
"2019-01-17 00:00:00",427151,4384,2113,894,482920,1044311.2857142857,
"2019-01-18 00:00:00",569660,0,5060,5211,315818,990780.4285714285,
"2019-01-19 00:00:00",574853,3008,9320,899,400076,967735.4285714285,
"2019-01-20 00:00:00",603395,3008,9487,513,236566,946674.8571428572,
"2019-01-21 00:00:00",563687,34392,6460,1793,401522,924113,
"2019-01-22 00:00:00",467179,7500,10245,1557,242491,915007.2857142857,
"2019-01-23 00:00:00",703815,522,4213,5827,476882,940347.4285714285,
"2019-01-24 00:00:00",395413,3008,4645,1678,214536,897749.8571428572,
"2019-01-25 00:00:00",506695,0,0,9895,324180,889895.8571428572,
"2019-01-26 00:00:00",331388,0,1666,4628,300697,839927.7142857143,
"2019-01-27 00:00:00",402978,0,5524,0,307314,820334.2857142857,
"2019-01-28 00:00:00",747193,54790,5147,1323,441123,854866.1428571428,
"2019-01-29 00:00:00",546662,4909,4540,0,323853,876436.4285714285,
"2019-01-30 00:00:00",343307,8288,833,5769,272642,796376.4285714285,
"2019-01-31 00:00:00",372018,3008,7599,894,272433,801615.4285714285,
