date,port,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score
2023-02-02,Busan,1.4,0.0,16.9,0,0,0.0
2023-02-03,Busan,2.2,0.0,11.5,0,0,0.0
2023-02-04,Busan,0.6,0.0,20.2,0,0,0.0
2023-02-05,Busan,0.7,0.0,10.8,0,0,0.0
2023-02-06,Busan,2.5,0.0,9.0,0,0,0.0
2023-02-07,Busan,6.4,0.0,15.6,0,0,0.0
2023-02-08,Busan,5.0,0.0,17.7,0,0,0.0
2023-02-09,Busan,5.1,2.0,21.3,0,0,0.0
2023-02-10,Busan,6.0,22.3,15.6,0,0,0.0
2023-02-11,Busan,3.8,0.0,8.7,0,0,0.0
2023-02-12,Busan,4.8,1.9,20.9,0,0,0.0
2023-02-13,Busan,6.4,2.8,19.5,0,0,0.0
2023-02-14,Busan,4.9,0.0,22.1,0,0,0.0
2023-02-15,Busan,2.9,0.0,23.4,0,0,0.0
2023-02-16,Busan,4.5,0.0,11.0,0,0,0.0
2023-02-17,Busan,4.5,0.7,9.2,0,0,0.0
2023-02-18,Busan,8.8,4.9,14.5,0,0,0.0
2023-02-19,Busan,8.0,2.3,24.8,0,0,0.0
2023-02-20,Busan,1.8,0.0,25.0,0,0,0.0
2023-02-21,Busan,0.2,0.0,17.1,0,0,0.0
2023-02-22,Busan,3.6,0.0,10.5,0,0,0.0
2023-02-23,Busan,6.9,1.6,12.2,0,0,0.0
2023-02-24,Busan,7.0,0.0,18.1,0,0,0.0
2023-02-25,Busan,3.0,0.0,16.9,0,0,0.0
2023-02-26,Busan,2.6,0.0,13.0,0,0,0.0
2023-02-27,Busan,4.2,0.0,13.0,0,0,0.0
2023-02-28,Busan,6.8,0.0,21.7,0,0,0.0
2023-03-01,Busan,7.7,2.9,19.4,0,0,0.0
2023-03-02,Busan,3.2,0.0,17.6,0,0,0.0
2023-03-03,Busan,4.0,0.0,14.7,0,0,0.0
2023-03-04,Busan,6.6,0.0,22.1,0,0,0.0
2023-03-05,Busan,8.3,0.0,14.0,0,0,0.0
2023-03-06,Busan,8.7,0.0,17.1,0,0,0.0
2023-03-07,Busan,9.8,0.0,20.6,0,0,0.0
2023-03-08,Busan,11.5,0.0,23.0,0,0,0.0
2023-03-09,Busan,14.2,0.5,20.6,0,0,0.0
2023-03-10,Busan,12.7,0.0,13.8,0,0,0.0
2023-03-11,Busan,13.6,0.0,13.0,0,0,0.0
2023-03-12,Busan,12.4,9.1,27.4,0,0,0.0
2023-03-13,Busan,4.0,0.0,24.3,0,0,0.0
2023-03-14,Busan,7.3,0.0,16.9,0,0,0.0
2023-03-15,Busan,11.9,3.9,26.4,0,0,0.0
2023-03-16,Busan,10.4,0.0,16.1,0,0,0.0
2023-03-17,Busan,8.9,0.2,20.0,0,0,0.0
2023-03-18,Busan,10.0,0.0,14.1,0,0,0.0
2023-03-19,Busan,9.4,0.0,15.3,0,0,0.0
2023-03-20,Busan,10.4,0.0,18.2,0,0,0.0
2023-03-21,Busan,12.4,0.4,17.7,0,0,0.0
2023-03-22,Busan,14.9,7.6,16.2,0,0,0.0
2023-03-23,Busan,14.7,36.6,19.2,0,0,0.0
2023-03-24,Busan,11.9,5.0,23.2,0,0,0.0
2023-03-25,Busan,10.4,1.0,20.6,0,0,0.0
2023-03-26,Busan,10.5,2.3,11.8,0,0,0.0
2023-03-27,Busan,9.4,0.0,12.5,0,0,0.0
2023-03-28,Busan,9.6,0.0,17.5,0,0,0.0
2023-03-29,Busan,11.1,0.0,14.1,0,0,0.0
2023-03-30,Busan,13.0,0.0,12.3,0,0,0.0
2023-03-31,Busan,14.9,0.0,19.6,0,0,0.0
2023-04-01,Busan,13.5,0.0,18.4,0,0,0.0
2023-04-02,Busan,13.3,0.0,29.5,0,0,0.0
2023-04-03,Busan,12.9,0.0,26.3,0,0,0.0
2023-04-04,Busan,14.3,1.1,15.8,0,0,0.0
2023-04-05,Busan,14.8,46.4,33.2,0,0,0.0
2023-04-06,Busan,11.9,0.4,20.6,0,0,0.0
2023-04-07,Busan,12.5,9.1,18.4,0,0,0.0
2023-04-08,Busan,8.8,0.0,23.3,0,0,0.0
2023-04-09,Busan,9.6,0.0,17.4,0,0,0.0
2023-04-10,Busan,11.6,0.0,20.4,0,0,0.0
2023-04-11,Busan,16.2,0.2,33.4,0,0,0.0
2023-04-12,Busan,13.2,0.0,23.0,0,0,0.0
2023-04-13,Busan,12.8,0.0,14.8,0,0,0.0
2023-04-14,Busan,13.2,4.4,10.6,0,0,0.0
2023-04-15,Busan,13.2,2.8,14.8,0,0,0.0
2023-04-16,Busan,10.8,2.7,13.1,0,0,0.0
2023-04-17,Busan,11.2,0.0,18.2,0,0,0.0
2023-04-18,Busan,15.7,5.9,24.2,0,0,0.0
2023-04-19,Busan,16.6,2.8,15.3,0,0,0.0
2023-04-20,Busan,18.8,0.0,16.4,0,0,0.0
2023-04-21,Busan,15.8,0.0,28.9,0,0,0.0
2023-04-22,Busan,12.6,0.0,28.0,0,0,0.0
2023-04-23,Busan,11.9,0.0,18.5,0,0,0.0
2023-04-24,Busan,12.2,0.0,20.3,0,0,0.0
2023-04-25,Busan,10.6,14.9,13.7,0,0,0.0
2023-04-26,Busan,12.2,0.1,20.9,0,0,0.0
2023-04-27,Busan,12.5,0.0,13.2,0,0,0.0
2023-04-28,Busan,14.6,0.3,19.8,0,0,0.0
2023-04-29,Busan,16.7,20.7,24.0,0,0,0.0
2023-04-30,Busan,13.7,0.0,19.7,0,0,0.0
2023-05-01,Busan,14.8,0.0,16.7,0,0,0.0
2023-05-02,Busan,15.0,0.0,12.1,0,0,0.0
2023-05-03,Busan,15.7,0.4,16.3,0,0,0.0
2023-05-04,Busan,16.8,6.6,19.1,0,0,0.0
2023-05-05,Busan,18.0,57.0,31.8,0,1,0.3
2023-05-06,Busan,15.4,47.3,34.3,0,0,0.0
2023-05-07,Busan,11.8,10.6,23.7,0,0,0.0
2023-05-08,Busan,12.5,0.0,15.9,0,0,0.0
2023-05-09,Busan,14.9,0.0,12.8,0,0,0.0
2023-05-10,Busan,16.6,0.0,12.6,0,0,0.0
2023-05-11,Busan,15.8,0.0,20.4,0,0,0.0
2023-05-12,Busan,16.1,0.7,10.9,0,0,0.0
2023-05-13,Busan,14.9,15.8,14.1,0,0,0.0
2023-05-14,Busan,16.4,0.0,9.7,0,0,0.0
2023-05-15,Busan,17.9,0.0,13.0,0,0,0.0
2023-05-16,Busan,18.8,0.0,15.8,0,0,0.0
2023-05-17,Busan,19.6,0.0,13.9,0,0,0.0
2023-05-18,Busan,18.2,21.4,19.2,0,0,0.0
2023-05-19,Busan,17.8,8.1,22.8,0,0,0.0
2023-05-20,Busan,17.2,0.0,12.7,0,0,0.0
2023-05-21,Busan,20.0,0.0,16.1,0,0,0.0
2023-05-22,Busan,17.0,3.7,12.3,0,0,0.0
2023-05-23,Busan,16.4,0.0,14.4,0,0,0.0
2023-05-24,Busan,16.8,0.0,11.0,0,0,0.0
2023-05-25,Busan,17.9,0.0,12.3,0,0,0.0
2023-05-26,Busan,18.9,1.2,13.1,0,0,0.0
2023-05-27,Busan,20.5,1.6,17.1,0,0,0.0
2023-05-28,Busan,20.0,7.1,18.1,0,0,0.0
2023-05-29,Busan,20.6,60.9,15.0,0,1,0.3
2023-05-30,Busan,18.7,17.3,20.5,0,0,0.0
2023-05-31,Busan,18.5,0.0,20.1,0,0,0.0
2023-06-01,Busan,17.6,64.2,7.1,0,1,0.3
2023-06-02,Busan,22.1,6.4,11.6,0,0,0.0
2023-06-03,Busan,20.0,0.0,15.8,0,0,0.0
2023-06-04,Busan,20.7,0.0,14.0,0,0,0.0
2023-06-05,Busan,21.4,0.0,9.7,0,0,0.0
2023-06-06,Busan,19.2,0.2,11.3,0,0,0.0
2023-06-07,Busan,20.2,0.0,12.4,0,0,0.0
2023-06-08,Busan,19.7,0.2,15.5,0,0,0.0
2023-06-09,Busan,20.5,0.0,16.6,0,0,0.0
2023-06-10,Busan,21.1,0.0,12.0,0,0,0.0
2023-06-11,Busan,21.2,3.7,17.1,0,0,0.0
