date,port,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score
2023-02-02,Hamburg,4.8,4.0,34.0,0,0,0.0
2023-02-03,Hamburg,7.0,7.2,41.6,1,0,0.7
2023-02-04,Hamburg,1.7,0.1,22.3,0,0,0.0
2023-02-05,Hamburg,-0.3,0.3,15.3,0,0,0.0
2023-02-06,Hamburg,-0.2,0.0,10.5,0,0,0.0
2023-02-07,Hamburg,-1.8,0.0,9.7,0,0,0.0
2023-02-08,Hamburg,-1.3,0.0,14.9,0,0,0.0
2023-02-09,Hamburg,0.3,0.0,16.8,0,0,0.0
2023-02-10,Hamburg,4.0,0.0,24.8,0,0,0.0
2023-02-11,Hamburg,7.1,0.2,25.3,0,0,0.0
2023-02-12,Hamburg,7.0,0.2,13.4,0,0,0.0
2023-02-13,Hamburg,6.1,0.0,13.4,0,0,0.0
2023-02-14,Hamburg,4.1,0.0,9.7,0,0,0.0
2023-02-15,Hamburg,3.4,0.0,9.5,0,0,0.0
2023-02-16,Hamburg,5.7,2.2,19.2,0,0,0.0
2023-02-17,Hamburg,8.9,4.0,34.9,0,0,0.0
2023-02-18,Hamburg,6.0,7.1,34.4,0,0,0.0
2023-02-19,Hamburg,4.7,2.1,18.6,0,0,0.0
2023-02-20,Hamburg,7.4,1.9,34.4,0,0,0.0
2023-02-21,Hamburg,8.4,4.6,27.0,0,0,0.0
2023-02-22,Hamburg,8.5,0.0,18.0,0,0,0.0
2023-02-23,Hamburg,6.1,0.7,18.0,0,0,0.0
2023-02-24,Hamburg,3.6,3.4,28.3,0,0,0.0
2023-02-25,Hamburg,2.3,1.7,29.2,0,0,0.0
2023-02-26,Hamburg,-0.1,0.0,18.3,0,0,0.0
2023-02-27,Hamburg,0.4,0.0,9.9,0,0,0.0
2023-02-28,Hamburg,1.0,0.0,9.1,0,0,0.0
2023-03-01,Hamburg,0.3,0.0,11.6,0,0,0.0
2023-03-02,Hamburg,1.7,0.0,8.2,0,0,0.0
2023-03-03,Hamburg,1.1,0.1,20.7,0,0,0.0
2023-03-04,Hamburg,4.5,0.0,25.5,0,0,0.0
2023-03-05,Hamburg,2.5,5.6,19.5,0,0,0.0
2023-03-06,Hamburg,1.9,3.6,15.5,0,0,0.0
2023-03-07,Hamburg,2.4,5.0,33.9,0,0,0.0
2023-03-08,Hamburg,0.6,2.1,12.9,0,0,0.0
2023-03-09,Hamburg,1.0,1.3,11.4,0,0,0.0
2023-03-10,Hamburg,1.0,11.0,21.7,0,0,0.0
2023-03-11,Hamburg,1.1,2.6,21.6,0,0,0.0
2023-03-12,Hamburg,1.8,1.6,20.1,0,0,0.0
2023-03-13,Hamburg,10.9,6.2,34.7,0,0,0.0
2023-03-14,Hamburg,7.1,5.7,32.3,0,0,0.0
2023-03-15,Hamburg,2.3,2.0,26.6,0,0,0.0
2023-03-16,Hamburg,3.3,0.0,23.5,0,0,0.0
2023-03-17,Hamburg,8.9,0.0,20.4,0,0,0.0
2023-03-18,Hamburg,11.3,0.8,17.9,0,0,0.0
2023-03-19,Hamburg,9.9,8.0,10.7,0,0,0.0
2023-03-20,Hamburg,8.1,0.5,19.9,0,0,0.0
2023-03-21,Hamburg,9.0,3.5,18.1,0,0,0.0
2023-03-22,Hamburg,10.4,1.3,32.6,0,0,0.0
2023-03-23,Hamburg,11.5,6.0,29.7,0,0,0.0
2023-03-24,Hamburg,11.6,5.4,29.0,0,0,0.0
2023-03-25,Hamburg,8.4,8.3,27.4,0,0,0.0
2023-03-26,Hamburg,7.0,0.3,23.8,0,0,0.0
2023-03-27,Hamburg,3.2,2.1,29.0,0,0,0.0
2023-03-28,Hamburg,3.6,1.2,20.5,0,0,0.0
2023-03-29,Hamburg,6.6,0.4,17.1,0,0,0.0
2023-03-30,Hamburg,11.1,9.9,28.0,0,0,0.0
2023-03-31,Hamburg,10.0,5.7,18.9,0,0,0.0
2023-04-01,Hamburg,6.4,8.3,24.3,0,0,0.0
2023-04-02,Hamburg,3.5,0.0,23.2,0,0,0.0
2023-04-03,Hamburg,2.4,0.0,15.6,0,0,0.0
2023-04-04,Hamburg,1.9,0.0,9.8,0,0,0.0
2023-04-05,Hamburg,3.7,0.0,9.5,0,0,0.0
2023-04-06,Hamburg,5.4,0.0,18.0,0,0,0.0
2023-04-07,Hamburg,5.9,0.0,19.2,0,0,0.0
2023-04-08,Hamburg,7.3,0.1,14.5,0,0,0.0
2023-04-09,Hamburg,8.4,0.0,8.9,0,0,0.0
2023-04-10,Hamburg,10.9,0.1,24.5,0,0,0.0
2023-04-11,Hamburg,8.2,12.8,27.2,0,0,0.0
2023-04-12,Hamburg,6.8,5.9,22.4,0,0,0.0
2023-04-13,Hamburg,7.7,2.2,26.8,0,0,0.0
