date,port,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score
2023-02-02,Nhava Sheva,27.9,0.0,24.1,0,0,0.0
2023-02-03,Nhava Sheva,26.2,0.0,27.2,0,0,0.0
2023-02-04,Nhava Sheva,25.5,0.0,23.6,0,0,0.0
2023-02-05,Nhava Sheva,25.4,0.0,18.6,0,0,0.0
2023-02-06,Nhava Sheva,25.0,0.0,21.3,0,0,0.0
2023-02-07,Nhava Sheva,24.7,0.0,25.9,0,0,0.0
2023-02-08,Nhava Sheva,25.5,0.0,23.8,0,0,0.0
2023-02-09,Nhava Sheva,26.6,0.0,23.6,0,0,0.0
2023-02-10,Nhava Sheva,25.7,0.0,21.4,0,0,0.0
2023-02-11,Nhava Sheva,25.3,0.0,25.2,0,0,0.0
2023-02-12,Nhava Sheva,26.0,0.0,25.5,0,0,0.0
2023-02-13,Nhava Sheva,26.9,0.0,29.4,0,0,0.0
2023-02-14,Nhava Sheva,25.8,0.0,25.4,0,0,0.0
2023-02-15,Nhava Sheva,26.1,0.0,26.7,0,0,0.0
2023-02-16,Nhava Sheva,27.0,0.0,29.9,0,0,0.0
2023-02-17,Nhava Sheva,27.1,0.0,28.2,0,0,0.0
2023-02-18,Nhava Sheva,26.9,0.0,30.4,0,0,0.0
2023-02-19,Nhava Sheva,26.4,0.0,24.9,0,0,0.0
2023-02-20,Nhava Sheva,25.2,0.0,20.5,0,0,0.0
2023-02-21,Nhava Sheva,26.2,0.0,25.0,0,0,0.0
2023-02-22,Nhava Sheva,25.3,0.0,24.9,0,0,0.0
2023-02-23,Nhava Sheva,26.2,0.0,25.9,0,0,0.0
2023-02-24,Nhava Sheva,27.2,0.0,27.2,0,0,0.0
2023-02-25,Nhava Sheva,27.9,0.0,25.7,0,0,0.0
2023-02-26,Nhava Sheva,27.4,0.0,26.7,0,0,0.0
2023-02-27,Nhava Sheva,27.5,0.0,27.0,0,0,0.0
2023-02-28,Nhava Sheva,26.5,0.0,25.5,0,0,0.0
2023-03-01,Nhava Sheva,27.0,0.0,27.9,0,0,0.0
2023-03-02,Nhava Sheva,27.9,0.0,28.1,0,0,0.0
2023-03-03,Nhava Sheva,27.7,0.0,22.4,0,0,0.0
2023-03-04,Nhava Sheva,28.1,0.0,22.0,0,0,0.0
2023-03-05,Nhava Sheva,28.8,0.0,25.5,0,0,0.0
2023-03-06,Nhava Sheva,30.3,0.1,23.0,0,0,0.0
2023-03-07,Nhava Sheva,30.2,0.0,22.3,0,0,0.0
2023-03-08,Nhava Sheva,29.0,0.0,24.2,0,0,0.0
2023-03-09,Nhava Sheva,29.8,0.0,29.4,0,0,0.0
2023-03-10,Nhava Sheva,29.1,0.0,33.0,0,0,0.0
2023-03-11,Nhava Sheva,29.6,0.0,23.4,0,0,0.0
2023-03-12,Nhava Sheva,29.5,0.0,27.1,0,0,0.0
2023-03-13,Nhava Sheva,29.9,0.0,25.8,0,0,0.0
2023-03-14,Nhava Sheva,29.3,0.0,23.1,0,0,0.0
2023-03-15,Nhava Sheva,29.2,0.0,18.7,0,0,0.0
2023-03-16,Nhava Sheva,27.6,7.6,24.9,0,0,0.0
2023-03-17,Nhava Sheva,27.1,2.4,19.6,0,0,0.0
2023-03-18,Nhava Sheva,27.6,0.0,22.6,0,0,0.0
2023-03-19,Nhava Sheva,26.6,0.0,22.4,0,0,0.0
2023-03-20,Nhava Sheva,26.8,0.3,22.5,0,0,0.0
2023-03-21,Nhava Sheva,25.9,0.5,19.7,0,0,0.0
2023-03-22,Nhava Sheva,26.7,0.0,19.7,0,0,0.0
2023-03-23,Nhava Sheva,26.7,0.5,23.8,0,0,0.0
2023-03-24,Nhava Sheva,26.9,0.0,25.6,0,0,0.0
2023-03-25,Nhava Sheva,26.1,0.0,27.9,0,0,0.0
2023-03-26,Nhava Sheva,25.5,0.0,24.7,0,0,0.0
2023-03-27,Nhava Sheva,26.0,0.0,23.6,0,0,0.0
2023-03-28,Nhava Sheva,26.5,0.0,24.2,0,0,0.0
2023-03-29,Nhava Sheva,26.2,0.0,20.6,0,0,0.0
2023-03-30,Nhava Sheva,26.2,0.1,19.1,0,0,0.0
2023-03-31,Nhava Sheva,27.0,0.3,21.4,0,0,0.0
2023-04-01,Nhava Sheva,26.9,0.0,26.3,0,0,0.0
2023-04-02,Nhava Sheva,26.8,0.0,27.0,0,0,0.0
2023-04-03,Nhava Sheva,27.0,0.0,27.1,0,0,0.0
2023-04-04,Nhava Sheva,27.4,0.0,27.1,0,0,0.0
2023-04-05,Nhava Sheva,27.3,0.0,25.8,0,0,0.0
2023-04-06,Nhava Sheva,28.8,0.0,27.4,0,0,0.0
2023-04-07,Nhava Sheva,30.5,0.0,27.2,0,0,0.0
2023-04-08,Nhava Sheva,30.5,0.0,25.3,0,0,0.0
2023-04-09,Nhava Sheva,30.6,0.0,29.1,0,0,0.0
2023-04-10,Nhava Sheva,31.2,0.0,26.6,0,0,0.0
2023-04-11,Nhava Sheva,30.6,0.0,27.2,0,0,0.0
2023-04-12,Nhava Sheva,31.6,0.0,30.6,0,0,0.0
2023-04-13,Nhava Sheva,31.9,0.0,28.8,0,0,0.0
2023-04-14,Nhava Sheva,31.2,0.0,26.6,0,0,0.0
2023-04-15,Nhava Sheva,30.5,0.0,28.2,0,0,0.0
2023-04-16,Nhava Sheva,29.7,0.0,27.2,0,0,0.0
2023-04-17,Nhava Sheva,29.8,0.0,27.9,0,0,0.0
2023-04-18,Nhava Sheva,32.6,0.0,29.1,0,0,0.0
2023-04-19,Nhava Sheva,33.1,0.0,29.0,0,0,0.0
2023-04-20,Nhava Sheva,30.5,0.0,28.1,0,0,0.0
2023-04-21,Nhava Sheva,28.9,0.0,24.0,0,0,0.0
2023-04-22,Nhava Sheva,28.1,0.0,23.1,0,0,0.0
2023-04-23,Nhava Sheva,28.3,0.0,23.1,0,0,0.0
2023-04-24,Nhava Sheva,28.6,0.0,28.2,0,0,0.0
2023-04-25,Nhava Sheva,29.0,0.0,25.6,0,0,0.0
2023-04-26,Nhava Sheva,29.2,0.0,24.5,0,0,0.0
2023-04-27,Nhava Sheva,29.0,0.2,24.9,0,0,0.0
2023-04-28,Nhava Sheva,29.0,0.0,22.0,0,0,0.0
2023-04-29,Nhava Sheva,28.5,0.3,22.6,0,0,0.0
2023-04-30,Nhava Sheva,28.5,0.1,24.0,0,0,0.0
2023-05-01,Nhava Sheva,28.8,0.1,19.1,0,0,0.0
2023-05-02,Nhava Sheva,29.1,0.3,20.2,0,0,0.0
2023-05-03,Nhava Sheva,29.1,0.4,21.3,0,0,0.0
2023-05-04,Nhava Sheva,28.7,0.2,21.7,0,0,0.0
2023-05-05,Nhava Sheva,29.0,0.0,24.0,0,0,0.0
2023-05-06,Nhava Sheva,29.2,0.1,25.7,0,0,0.0
2023-05-07,Nhava Sheva,28.1,7.9,17.5,0,0,0.0
2023-05-08,Nhava Sheva,30.1,1.0,23.0,0,0,0.0
2023-05-09,Nhava Sheva,30.5,0.1,22.3,0,0,0.0
2023-05-10,Nhava Sheva,30.9,0.0,25.5,0,0,0.0
2023-05-11,Nhava Sheva,31.1,0.0,21.6,0,0,0.0
2023-05-12,Nhava Sheva,30.7,0.0,22.9,0,0,0.0
2023-05-13,Nhava Sheva,30.6,0.0,22.2,0,0,0.0
2023-05-14,Nhava Sheva,30.2,0.0,20.9,0,0,0.0
2023-05-15,Nhava Sheva,30.6,0.2,22.4,0,0,0.0
2023-05-16,Nhava Sheva,30.9,0.4,20.4,0,0,0.0
2023-05-17,Nhava Sheva,30.7,0.0,25.8,0,0,0.0
2023-05-18,Nhava Sheva,30.4,0.0,25.4,0,0,0.0
2023-05-19,Nhava Sheva,30.3,0.0,26.9,0,0,0.0
2023-05-20,Nhava Sheva,30.3,0.0,22.5,0,0,0.0
2023-05-21,Nhava Sheva,30.2,0.3,23.7,0,0,0.0
2023-05-22,Nhava Sheva,30.1,0.0,21.5,0,0,0.0
2023-05-23,Nhava Sheva,30.2,0.0,27.3,0,0,0.0
2023-05-24,Nhava Sheva,30.5,0.2,22.7,0,0,0.0
2023-05-25,Nhava Sheva,31.0,0.0,22.5,0,0,0.0
2023-05-26,Nhava Sheva,30.6,0.8,24.5,0,0,0.0
2023-05-27,Nhava Sheva,31.0,0.0,22.1,0,0,0.0
2023-05-28,Nhava Sheva,31.3,0.0,22.0,0,0,0.0
2023-05-29,Nhava Sheva,30.8,0.0,29.3,0,0,0.0
2023-05-30,Nhava Sheva,30.8,0.0,22.7,0,0,0.0
2023-05-31,Nhava Sheva,31.1,0.0,26.6,0,0,0.0
2023-06-01,Nhava Sheva,30.5,0.0,24.9,0,0,0.0
2023-06-02,Nhava Sheva,30.8,0.0,21.7,0,0,0.0
2023-06-03,Nhava Sheva,31.6,0.7,21.8,0,0,0.0
2023-06-04,Nhava Sheva,30.8,2.6,19.7,0,0,0.0
2023-06-05,Nhava Sheva,30.4,1.4,22.4,0,0,0.0
2023-06-06,Nhava Sheva,31.0,0.5,19.9,0,0,0.0
2023-06-07,Nhava Sheva,31.3,0.1,20.1,0,0,0.0
2023-06-08,Nhava Sheva,31.5,0.1,22.8,0,0,0.0
2023-06-09,Nhava Sheva,31.5,2.5,31.6,0,0,0.0
2023-06-10,Nhava Sheva,31.7,1.1,35.4,0,0,0.0
2023-06-11,Nhava Sheva,30.9,1.5,33.0,0,0,0.0
2023-06-12,Nhava Sheva,30.1,2.7,44.0,1,0,0.7
2023-06-13,Nhava Sheva,29.3,6.7,37.8,0,0,0.0
2023-06-14,Nhava Sheva,28.9,5.3,35.9,0,0,0.0
2023-06-15,Nhava Sheva,30.0,4.4,36.1,0,0,0.0
2023-06-16,Nhava Sheva,29.7,3.2,38.8,0,0,0.0
