date,port,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score
2023-02-02,Rotterdam,8.1,0.7,25.8,0,0,0.0
2023-02-03,Rotterdam,9.2,0.4,29.8,0,0,0.0
2023-02-04,Rotterdam,7.4,0.4,10.0,0,0,0.0
2023-02-05,Rotterdam,6.5,1.7,34.6,0,0,0.0
2023-02-06,Rotterdam,3.3,0.0,10.0,0,0,0.0
2023-02-07,Rotterdam,0.3,0.0,10.7,0,0,0.0
2023-02-08,Rotterdam,-0.0,0.0,10.4,0,0,0.0
2023-02-09,Rotterdam,2.2,0.0,16.9,0,0,0.0
2023-02-10,Rotterdam,3.9,0.0,23.2,0,0,0.0
2023-02-11,Rotterdam,7.3,0.0,17.9,0,0,0.0
2023-02-12,Rotterdam,7.0,0.0,10.1,0,0,0.0
2023-02-13,Rotterdam,6.3,0.0,8.8,0,0,0.0
2023-02-14,Rotterdam,4.7,0.0,10.9,0,0,0.0
2023-02-15,Rotterdam,4.3,0.0,15.5,0,0,0.0
2023-02-16,Rotterdam,7.3,3.3,24.0,0,0,0.0
2023-02-17,Rotterdam,9.9,0.1,34.3,0,0,0.0
2023-02-18,Rotterdam,9.8,2.1,32.1,0,0,0.0
2023-02-19,Rotterdam,8.1,2.6,25.4,0,0,0.0
2023-02-20,Rotterdam,7.3,0.0,31.9,0,0,0.0
2023-02-21,Rotterdam,8.2,0.1,21.1,0,0,0.0
2023-02-22,Rotterdam,6.2,0.4,15.6,0,0,0.0
2023-02-23,Rotterdam,7.1,1.3,17.1,0,0,0.0
2023-02-24,Rotterdam,4.3,2.2,25.6,0,0,0.0
2023-02-25,Rotterdam,4.7,0.3,24.9,0,0,0.0
2023-02-26,Rotterdam,2.0,0.0,25.5,0,0,0.0
2023-02-27,Rotterdam,2.5,0.0,20.9,0,0,0.0
2023-02-28,Rotterdam,1.9,1.1,14.8,0,0,0.0
2023-03-01,Rotterdam,1.2,0.0,17.4,0,0,0.0
2023-03-02,Rotterdam,2.7,0.0,18.6,0,0,0.0
2023-03-03,Rotterdam,3.4,0.0,14.2,0,0,0.0
2023-03-04,Rotterdam,5.9,0.3,22.0,0,0,0.0
2023-03-05,Rotterdam,4.0,1.9,14.8,0,0,0.0
2023-03-06,Rotterdam,3.8,5.8,24.5,0,0,0.0
2023-03-07,Rotterdam,3.2,7.5,23.4,0,0,0.0
2023-03-08,Rotterdam,0.6,4.7,22.7,0,0,0.0
2023-03-09,Rotterdam,1.8,10.4,16.5,0,0,0.0
2023-03-10,Rotterdam,3.1,23.3,34.5,0,0,0.0
2023-03-11,Rotterdam,2.7,0.0,17.5,0,0,0.0
2023-03-12,Rotterdam,6.6,1.5,30.9,0,0,0.0
2023-03-13,Rotterdam,12.3,3.7,47.5,1,0,0.7
2023-03-14,Rotterdam,7.3,6.1,28.8,0,0,0.0
2023-03-15,Rotterdam,4.7,4.5,18.0,0,0,0.0
2023-03-16,Rotterdam,8.2,1.7,25.9,0,0,0.0
2023-03-17,Rotterdam,11.3,0.1,19.8,0,0,0.0
2023-03-18,Rotterdam,11.1,2.4,22.3,0,0,0.0
2023-03-19,Rotterdam,9.5,1.6,16.5,0,0,0.0
2023-03-20,Rotterdam,7.5,4.7,23.3,0,0,0.0
