date,port,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score
2023-02-02,Shanghai,4.6,0.4,19.0,0,0,0.0
2023-02-03,Shanghai,4.7,0.7,13.7,0,0,0.0
2023-02-04,Shanghai,4.3,0.0,16.9,0,0,0.0
2023-02-05,Shanghai,6.8,1.2,16.1,0,0,0.0
2023-02-06,Shanghai,8.7,8.8,14.8,0,0,0.0
2023-02-07,Shanghai,8.3,1.6,16.7,0,0,0.0
2023-02-08,Shanghai,7.4,0.7,20.2,0,0,0.0
2023-02-09,Shanghai,8.4,14.1,18.7,0,0,0.0
2023-02-10,Shanghai,6.8,0.0,17.5,0,0,0.0
2023-02-11,Shanghai,8.0,7.2,15.8,0,0,0.0
2023-02-12,Shanghai,12.2,14.5,21.9,0,0,0.0
2023-02-13,Shanghai,6.1,13.5,28.1,0,0,0.0
2023-02-14,Shanghai,3.9,0.0,24.1,0,0,0.0
2023-02-15,Shanghai,4.0,0.0,20.9,0,0,0.0
2023-02-16,Shanghai,3.9,0.0,13.4,0,0,0.0
2023-02-17,Shanghai,9.0,0.3,10.2,0,0,0.0
2023-02-18,Shanghai,13.9,1.5,14.7,0,0,0.0
2023-02-19,Shanghai,7.9,0.8,21.9,0,0,0.0
2023-02-20,Shanghai,5.5,0.0,18.6,0,0,0.0
2023-02-21,Shanghai,4.1,0.0,22.5,0,0,0.0
2023-02-22,Shanghai,5.6,0.5,14.1,0,0,0.0
2023-02-23,Shanghai,5.2,4.4,13.6,0,0,0.0
2023-02-24,Shanghai,6.1,1.6,19.0,0,0,0.0
2023-02-25,Shanghai,4.8,0.0,25.6,0,0,0.0
2023-02-26,Shanghai,3.6,0.0,17.6,0,0,0.0
2023-02-27,Shanghai,5.1,0.0,13.6,0,0,0.0
2023-02-28,Shanghai,9.9,0.1,19.7,0,0,0.0
2023-03-01,Shanghai,10.8,1.6,20.9,0,0,0.0
2023-03-02,Shanghai,7.0,0.0,17.4,0,0,0.0
2023-03-03,Shanghai,6.3,0.0,13.1,0,0,0.0
2023-03-04,Shanghai,8.3,0.0,13.0,0,0,0.0
2023-03-05,Shanghai,10.1,0.0,14.1,0,0,0.0
2023-03-06,Shanghai,13.0,0.0,16.3,0,0,0.0
2023-03-07,Shanghai,14.4,0.0,17.7,0,0,0.0
2023-03-08,Shanghai,16.8,0.0,16.9,0,0,0.0
2023-03-09,Shanghai,18.0,0.6,14.5,0,0,0.0
2023-03-10,Shanghai,17.6,0.0,17.8,0,0,0.0
2023-03-11,Shanghai,15.9,0.1,23.0,0,0,0.0
2023-03-12,Shanghai,10.6,3.2,35.3,0,0,0.0
2023-03-13,Shanghai,8.1,0.0,17.1,0,0,0.0
2023-03-14,Shanghai,11.4,0.0,23.8,0,0,0.0
2023-03-15,Shanghai,14.4,0.0,24.8,0,0,0.0
2023-03-16,Shanghai,10.1,0.7,25.8,0,0,0.0
2023-03-17,Shanghai,8.4,19.4,20.9,0,0,0.0
2023-03-18,Shanghai,8.6,0.0,16.6,0,0,0.0
2023-03-19,Shanghai,9.3,0.2,15.7,0,0,0.0
2023-03-20,Shanghai,12.1,4.6,16.4,0,0,0.0
2023-03-21,Shanghai,13.7,9.0,12.0,0,0,0.0
2023-03-22,Shanghai,14.9,32.0,13.5,0,0,0.0
2023-03-23,Shanghai,12.7,0.0,23.1,0,0,0.0
2023-03-24,Shanghai,8.9,2.8,19.8,0,0,0.0
2023-03-25,Shanghai,7.6,0.4,13.9,0,0,0.0
2023-03-26,Shanghai,9.7,0.0,18.5,0,0,0.0
2023-03-27,Shanghai,10.5,0.0,14.2,0,0,0.0
2023-03-28,Shanghai,10.7,0.0,15.6,0,0,0.0
2023-03-29,Shanghai,11.6,3.5,12.4,0,0,0.0
2023-03-30,Shanghai,11.2,2.9,12.6,0,0,0.0
2023-03-31,Shanghai,12.6,0.3,14.7,0,0,0.0
2023-04-01,Shanghai,14.2,0.0,10.9,0,0,0.0
2023-04-02,Shanghai,14.2,0.0,16.4,0,0,0.0
2023-04-03,Shanghai,15.3,8.9,29.5,0,0,0.0
2023-04-04,Shanghai,17.5,9.2,39.1,0,0,0.0
2023-04-05,Shanghai,14.9,1.7,21.4,0,0,0.0
2023-04-06,Shanghai,11.0,7.9,12.2,0,0,0.0
2023-04-07,Shanghai,11.7,0.3,23.7,0,0,0.0
2023-04-08,Shanghai,11.5,0.0,12.6,0,0,0.0
2023-04-09,Shanghai,12.7,0.0,19.2,0,0,0.0
2023-04-10,Shanghai,16.6,0.0,24.9,0,0,0.0
2023-04-11,Shanghai,19.6,0.6,22.5,0,0,0.0
2023-04-12,Shanghai,14.5,0.0,23.0,0,0,0.0
2023-04-13,Shanghai,15.3,0.6,20.7,0,0,0.0
2023-04-14,Shanghai,19.3,0.7,16.6,0,0,0.0
2023-04-15,Shanghai,17.7,0.1,21.5,0,0,0.0
2023-04-16,Shanghai,17.7,0.9,20.6,0,0,0.0
2023-04-17,Shanghai,19.5,0.0,27.7,0,0,0.0
2023-04-18,Shanghai,23.7,0.6,22.0,0,0,0.0
2023-04-19,Shanghai,19.8,1.5,19.8,0,0,0.0
