date,port,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score
2023-02-02,Singapore,25.8,6.2,19.5,0,0,0.0
2023-02-03,Singapore,26.1,10.6,17.7,0,0,0.0
2023-02-04,Singapore,25.3,11.6,18.4,0,0,0.0
2023-02-05,Singapore,25.9,6.0,16.9,0,0,0.0
2023-02-06,Singapore,26.4,3.1,17.8,0,0,0.0
2023-02-07,Singapore,26.5,0.0,19.6,0,0,0.0
2023-02-08,Singapore,26.5,2.0,21.3,0,0,0.0
2023-02-09,Singapore,26.6,4.9,17.6,0,0,0.0
2023-02-10,Singapore,26.3,10.0,17.4,0,0,0.0
2023-02-11,Singapore,26.0,7.4,22.9,0,0,0.0
2023-02-12,Singapore,25.8,2.8,15.5,0,0,0.0
2023-02-13,Singapore,25.5,9.8,16.6,0,0,0.0
2023-02-14,Singapore,25.7,4.7,18.2,0,0,0.0
2023-02-15,Singapore,25.9,2.8,23.5,0,0,0.0
2023-02-16,Singapore,26.4,0.2,24.7,0,0,0.0
2023-02-17,Singapore,26.0,2.7,20.9,0,0,0.0
2023-02-18,Singapore,26.8,0.5,24.2,0,0,0.0
2023-02-19,Singapore,26.8,0.7,23.2,0,0,0.0
2023-02-20,Singapore,26.7,0.1,23.2,0,0,0.0
2023-02-21,Singapore,26.5,2.0,26.6,0,0,0.0
2023-02-22,Singapore,26.7,0.8,25.6,0,0,0.0
2023-02-23,Singapore,26.8,0.8,26.1,0,0,0.0
2023-02-24,Singapore,27.1,0.0,31.5,0,0,0.0
2023-02-25,Singapore,26.7,0.1,27.4,0,0,0.0
2023-02-26,Singapore,26.5,1.7,34.1,0,0,0.0
2023-02-27,Singapore,26.0,8.3,32.3,0,0,0.0
2023-02-28,Singapore,24.7,44.2,21.2,0,0,0.0
2023-03-01,Singapore,24.0,61.8,21.9,0,1,0.3
2023-03-02,Singapore,24.6,15.8,22.5,0,0,0.0
2023-03-03,Singapore,24.6,34.1,24.0,0,0,0.0
2023-03-04,Singapore,24.1,14.3,33.2,0,0,0.0
2023-03-05,Singapore,24.4,9.9,23.5,0,0,0.0
2023-03-06,Singapore,25.4,0.3,25.4,0,0,0.0
2023-03-07,Singapore,25.4,7.4,24.0,0,0,0.0
2023-03-08,Singapore,25.9,3.7,22.9,0,0,0.0
2023-03-09,Singapore,26.4,1.2,26.2,0,0,0.0
2023-03-10,Singapore,26.2,4.9,22.9,0,0,0.0
2023-03-11,Singapore,26.2,3.0,19.7,0,0,0.0
2023-03-12,Singapore,26.7,1.9,20.6,0,0,0.0
2023-03-13,Singapore,26.4,0.0,29.8,0,0,0.0
2023-03-14,Singapore,26.2,1.6,24.6,0,0,0.0
2023-03-15,Singapore,26.4,0.2,22.8,0,0,0.0
2023-03-16,Singapore,26.7,0.3,23.3,0,0,0.0
2023-03-17,Singapore,27.0,0.5,22.4,0,0,0.0
2023-03-18,Singapore,27.1,0.4,23.8,0,0,0.0
2023-03-19,Singapore,26.9,4.5,22.6,0,0,0.0
2023-03-20,Singapore,26.6,4.9,20.4,0,0,0.0
2023-03-21,Singapore,26.2,0.7,17.1,0,0,0.0
2023-03-22,Singapore,26.9,1.7,12.0,0,0,0.0
2023-03-23,Singapore,27.3,4.9,13.6,0,0,0.0
2023-03-24,Singapore,26.9,2.7,10.4,0,0,0.0
2023-03-25,Singapore,26.5,11.8,16.9,0,0,0.0
2023-03-26,Singapore,27.2,0.5,15.4,0,0,0.0
2023-03-27,Singapore,26.3,14.7,20.2,0,0,0.0
2023-03-28,Singapore,27.5,1.3,16.3,0,0,0.0
2023-03-29,Singapore,27.1,2.9,15.6,0,0,0.0
2023-03-30,Singapore,27.0,4.5,18.5,0,0,0.0
2023-03-31,Singapore,26.8,5.5,11.9,0,0,0.0
2023-04-01,Singapore,26.9,14.8,13.8,0,0,0.0
2023-04-02,Singapore,26.9,12.5,11.0,0,0,0.0
2023-04-03,Singapore,25.7,17.1,20.2,0,0,0.0
2023-04-04,Singapore,27.6,1.2,17.9,0,0,0.0
2023-04-05,Singapore,26.6,23.5,20.2,0,0,0.0
2023-04-06,Singapore,27.7,2.9,18.6,0,0,0.0
2023-04-07,Singapore,26.6,8.6,17.7,0,0,0.0
2023-04-08,Singapore,26.9,2.4,12.8,0,0,0.0
2023-04-09,Singapore,27.7,1.9,18.6,0,0,0.0
2023-04-10,Singapore,27.4,0.4,12.1,0,0,0.0
