port,era,n_days,mean_congestion,max_congestion,mean_total_calls,mean_net_dwt_flow,s3_rate,anomaly_days
Singapore,Pre-COVID (2019),365,1.2202,3.4607,124.45,171903.36,0.0795,29
Singapore,COVID + Suez (2020–22),1096,1.1987,3.0866,118.21,149853.04,0.0776,85
Singapore,Red Sea (2023–26),1224,1.1857,3.6154,123.84,140077.5,0.0743,91
Rotterdam,Pre-COVID (2019),365,2.6072,9.4909,96.32,412589.9,0.6027,20
Rotterdam,COVID + Suez (2020–22),1096,2.7577,11.8555,92.13,422716.0,0.6396,77
Rotterdam,Red Sea (2023–26),1224,3.0236,16.1624,83.57,444164.84,0.7067,109
Shanghai,Pre-COVID (2019),365,1.3075,5.0118,110.51,133296.04,0.1041,19
Shanghai,COVID + Suez (2020–22),1096,1.2231,10.5064,107.02,82072.46,0.0648,47
Shanghai,Red Sea (2023–26),1224,1.3411,20.0,117.15,161838.92,0.1046,72
Nhava Sheva,Pre-COVID (2019),365,3.604,20.0,14.7,89659.5,0.4603,35
Nhava Sheva,COVID + Suez (2020–22),1096,3.2453,20.0,16.22,87725.21,0.4626,84
Nhava Sheva,Red Sea (2023–26),1224,2.9307,20.0,19.64,119937.35,0.4796,62
Busan,Pre-COVID (2019),365,1.2545,5.142,56.39,24384.84,0.0849,18
Busan,COVID + Suez (2020–22),1096,1.2722,6.3511,54.03,22071.2,0.1314,84
Busan,Red Sea (2023–26),1224,1.2568,6.3088,54.5,19726.0,0.1201,94
Hamburg,Pre-COVID (2019),365,1.7508,17.9856,20.6,50513.24,0.274,13
Hamburg,COVID + Suez (2020–22),1096,1.8257,20.0,19.02,49584.67,0.2901,47
Hamburg,Red Sea (2023–26),1224,2.0413,20.0,17.1,48834.75,0.317,89
Antwerp,Pre-COVID (2019),365,1.1367,5.1014,66.47,-3742.89,0.0959,26
Antwerp,COVID + Suez (2020–22),1096,1.1263,7.005,63.81,-12469.27,0.0912,59
Antwerp,Red Sea (2023–26),1224,1.1537,11.663,59.06,-6005.64,0.0956,76
