date,port,current_state,predicted_state,p_s3,hawkes_lambda,hawkes_alert,confidence,tier0_action,tier1_action,tier2_action,tier3_action,tier0_cost
2025-11-06,Nhava Sheva,S4,S3,0.5865,0.327,1,0.5355,Strong,Escrow,Stale,Stale,282.8792
2025-11-06,Singapore,S4,S0,0.1591,0.1491,0,0.4899,Strong,Escrow,Stale,Stale,282.8792
2025-11-06,Busan,S3,S4,0.3968,0.2249,1,0.6097,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-06,Hamburg,S1,S3,0.4311,0.3112,1,0.3328,Strong,Escrow,Stale,Stale,232.5081
2025-11-06,Antwerp,S4,S0,0.2141,0.199,0,0.4871,Strong,Escrow,Stale,Stale,282.8792
2025-11-07,Antwerp,S0,S0,0.263,0.2732,0,0.5055,Strong,Escrow,Stale,Stale,123.1027
2025-11-07,Busan,S4,S0,0.1715,0.2176,0,0.5361,Strong,Escrow,Stale,Stale,282.8792
2025-11-07,Hamburg,S3,S3,0.651,0.3612,1,0.5857,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-07,Nhava Sheva,S0,S3,0.5789,0.3571,1,0.4877,Strong,Escrow,Stale,Stale,123.1027
2025-11-07,Rotterdam,S3,S3,0.6502,0.3191,1,0.6362,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-07,Shanghai,S0,S0,0.362,0.2758,1,0.3922,Strong,Escrow,Stale,Stale,123.1027
2025-11-07,Singapore,S0,S0,0.2163,0.1891,0,0.4764,Strong,Escrow,Stale,Stale,123.1027
2025-11-08,Singapore,S0,S0,0.1305,0.1569,0,0.5619,Strong,Escrow,Stale,Stale,123.1027
2025-11-08,Shanghai,S2,S0,0.2414,0.2099,0,0.37,Strong,Escrow,Stale,Stale,421.3218
2025-11-08,Rotterdam,S4,S3,0.7032,0.31,1,0.723,Strong,Escrow,Stale,Stale,282.8792
2025-11-08,Antwerp,S0,S0,0.2487,0.239,0,0.4795,Strong,Escrow,Stale,Stale,123.1027
2025-11-08,Hamburg,S3,S4,0.3648,0.3062,1,0.7558,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-08,Busan,S0,S0,0.1783,0.198,0,0.5066,Strong,Escrow,Stale,Stale,123.1027
2025-11-08,Nhava Sheva,S3,S3,0.6799,0.3299,1,0.6653,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-09,Singapore,S3,S4,0.1316,0.1562,0,0.8987,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-09,Shanghai,S2,S0,0.2853,0.2346,0,0.3541,Strong,Escrow,Stale,Stale,421.3218
2025-11-09,Rotterdam,S3,S3,0.6978,0.3019,1,0.7251,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-09,Antwerp,S0,S0,0.199,0.2102,0,0.5262,Strong,Escrow,Stale,Stale,123.1027
2025-11-09,Hamburg,S4,S3,0.4805,0.2859,1,0.4343,Strong,Escrow,Stale,Stale,282.8792
2025-11-09,Busan,S2,S0,0.2283,0.194,0,0.4342,Strong,Escrow,Stale,Stale,421.3218
2025-11-09,Nhava Sheva,S3,S3,0.5785,0.3091,1,0.5459,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-10,Antwerp,S1,S0,0.2511,0.2363,0,0.4653,Strong,Escrow,Stale,Stale,232.5081
2025-11-10,Busan,S0,S0,0.2119,0.2412,0,0.5248,Strong,Escrow,Stale,Stale,123.1027
2025-11-10,Hamburg,S3,S3,0.6532,0.3272,1,0.6305,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-10,Nhava Sheva,S4,S3,0.5498,0.3324,1,0.4764,Strong,Escrow,Stale,Stale,282.8792
2025-11-10,Rotterdam,S3,S3,0.712,0.2978,1,0.7504,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-10,Shanghai,S0,S0,0.4139,0.2923,1,0.3369,Strong,Escrow,Stale,Stale,123.1027
2025-11-10,Singapore,S4,S0,0.1402,0.1676,0,0.5516,Strong,Escrow,Stale,Stale,282.8792
2025-11-11,Rotterdam,S3,S3,0.7023,0.2971,1,0.7375,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-11,Shanghai,S1,S0,0.2693,0.22,0,0.3923,Strong,Escrow,Stale,Stale,232.5081
2025-11-11,Singapore,S3,S4,0.1401,0.1439,0,0.8705,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-11,Nhava Sheva,S0,S3,0.5646,0.315,1,0.5188,Strong,Escrow,Stale,Stale,123.1027
2025-11-11,Busan,S1,S0,0.2368,0.2123,0,0.4239,Strong,Escrow,Stale,Stale,232.5081
2025-11-11,Antwerp,S0,S0,0.2257,0.2167,0,0.4921,Strong,Escrow,Stale,Stale,123.1027
2025-11-11,Hamburg,S4,S0,0.3522,0.2855,1,0.3577,Strong,Escrow,Stale,Stale,282.8792
2025-11-12,Antwerp,S0,S0,0.1483,0.1934,0,0.5875,Strong,Escrow,Stale,Stale,123.1027
2025-11-12,Busan,S0,S0,0.1628,0.2167,0,0.5537,Strong,Escrow,Stale,Stale,123.1027
2025-11-12,Hamburg,S3,S3,0.5789,0.2811,1,0.5808,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-12,Nhava Sheva,S2,S3,0.6697,0.3069,1,0.6789,Strong,Escrow,Stale,Stale,421.3218
2025-11-12,Rotterdam,S3,S4,0.4346,0.2949,1,0.6422,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-12,Shanghai,S0,S0,0.1919,0.1925,0,0.4876,Strong,Escrow,Stale,Stale,123.1027
2025-11-12,Singapore,S4,S0,0.0575,0.1177,0,0.6165,Strong,Escrow,Stale,Stale,282.8792
