"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",32,32,19,2,22,,
"2019-01-02 00:00:00",22,27,16,3,33,,
"2019-01-03 00:00:00",27,44,16,2,20,,
"2019-01-04 00:00:00",16,20,15,3,11,,
"2019-01-05 00:00:00",44,40,17,5,38,,
"2019-01-06 00:00:00",32,39,9,5,25,,
"2019-01-07 00:00:00",42,34,17,7,26,108.85714285714286,
"2019-01-08 00:00:00",29,42,13,5,26,110,
"2019-01-09 00:00:00",28,39,9,5,22,110.28571428571429,
"2019-01-10 00:00:00",27,44,15,2,20,110.14285714285714,
"2019-01-11 00:00:00",39,38,12,6,35,119.42857142857143,
"2019-01-12 00:00:00",32,36,12,6,29,115.28571428571429,
"2019-01-13 00:00:00",31,41,20,2,21,116,
"2019-01-14 00:00:00",31,44,29,2,24,116.57142857142857,
"2019-01-15 00:00:00",35,37,12,5,24,116.28571428571429,
"2019-01-16 00:00:00",35,50,6,4,23,118.42857142857143,
"2019-01-17 00:00:00",26,39,20,2,24,118.85714285714286,
"2019-01-18 00:00:00",30,30,17,2,27,115.42857142857143,
"2019-01-19 00:00:00",31,34,9,6,22,113.57142857142857,
"2019-01-20 00:00:00",32,33,19,3,23,112.85714285714286,
"2019-01-21 00:00:00",27,36,19,7,29,111.14285714285714,
"2019-01-22 00:00:00",33,42,24,3,25,113.14285714285714,
"2019-01-23 00:00:00",30,34,15,5,23,111.57142857142857,
"2019-01-24 00:00:00",19,31,5,1,18,106.28571428571429,
"2019-01-25 00:00:00",38,40,25,6,32,111.28571428571429,
"2019-01-26 00:00:00",35,29,21,2,20,112,
"2019-01-27 00:00:00",31,46,10,4,27,113.14285714285714,
"2019-01-28 00:00:00",29,44,16,5,25,113.28571428571429,
"2019-01-29 00:00:00",30,34,9,4,17,108.57142857142857,
"2019-01-30 00:00:00",20,28,10,3,24,105.42857142857143,
"2019-01-31 00:00:00",33,24,12,1,21,107.85714285714286,
"2019-02-01 00:00:00",36,48,15,4,38,107.85714285714286,
"2019-02-02 00:00:00",33,44,17,4,19,109.28571428571429,
"2019-02-03 00:00:00",33,33,8,3,29,107.57142857142857,
"2019-02-04 00:00:00",20,22,12,3,11,100.28571428571429,
"2019-02-05 00:00:00",24,28,13,4,22,99.85714285714286,
"2019-02-06 00:00:00",28,24,15,3,23,101,
"2019-02-07 00:00:00",14,25,8,2,15,97.14285714285714,
"2019-02-08 00:00:00",15,37,7,2,30,90,
"2019-02-09 00:00:00",24,24,8,1,26,85.14285714285714,
"2019-02-10 00:00:00",20,31,8,2,21,81.71428571428571,
"2019-02-11 00:00:00",28,28,11,4,21,85.14285714285714,
"2019-02-12 00:00:00",24,33,13,2,26,86.14285714285714,
"2019-02-13 00:00:00",20,38,8,2,24,86,
"2019-02-14 00:00:00",20,35,10,5,18,89.42857142857143,
"2019-02-15 00:00:00",18,27,11,2,24,88.14285714285714,
